Year,Jan,Feb,Mar,April,May,June,July,Aug,Sept,Oct,Nov,Dec,Annual
1980,59.0,63.1,68.1,70.4,71.5,76.1,83.5,M,83.1,81.0,71.6,62.2,71.8
1981,M,M,M,M,M,M,M,M,M,M,M,M,M
1982,M,M,M,M,M,M,M,M,M,M,M,M,M
1983,M,M,M,M,M,M,M,M,M,M,M,M,M
1984,M,M,M,M,75.6,77.5,85.4,83.5,87.5,M,60.5,54.0,74.9
1985,50.7,64.3,59.5,71.9,71.1,83.7,83.2,79.6,75.2,73.2,60.1,50.3,68.6
1986,57.5,61.6,67.5,68.2,72.7,74.6,78.9,77.9,70.9,74.6,68.5,55.0,69.0
1987,55.3,61.6,62.5,73.1,75.2,77.0,75.5,79.9,79.2,M,63.3,55.4,68.9
1988,55.9,67.3,70.5,70.1,72.2,78.2,86.6,81.5,81.6,75.2,61.9,57.5,71.5
1989,56.0,57.8,62.6,72.3,72.6,76.5,82.0,M,75.1,72.5,66.6,55.3,68.1
1990,56.8,57.9,64.2,69.5,70.6,77.7,81.8,80.6,80.9,77.5,65.1,53.3,69.7
1991,M,64.9,58.8,66.5,68.0,73.3,79.9,77.4,80.2,78.6,66.9,56.6,70.1
1992,51.5,62.9,64.5,71.1,77.0,73.5,79.2,82.9,80.2,75.8,64.7,53.4,69.7
1993,53.1,57.2,65.0,66.7,69.3,78.2,79.1,80.9,80.4,74.7,63.5,53.4,68.5
1994,56.9,56.9,66.3,67.0,69.0,77.2,75.6,81.8,78.3,72.3,57.0,51.5,67.5
1995,55.8,60.2,60.8,64.7,67.1,74.9,81.1,81.8,79.1,75.8,69.2,58.4,69.1
1996,55.5,59.6,65.4,69.5,72.7,78.1,84.1,84.3,77.2,73.8,63.3,58.0,70.1
1997,54.2,61.9,67.7,69.4,79.3,76.2,80.9,80.7,82.0,72.2,64.0,55.9,70.4
1998,56.0,56.8,62.7,65.6,64.2,73.0,81.4,85.8,78.1,71.8,60.9,55.0,67.6
1999,53.4,57.1,58.1,65.8,66.1,76.3,78.2,78.8,79.4,76.8,63.9,60.2,67.8
2000,56.8,57.7,65.1,68.6,73.2,78.0,M,80.5,79.9,69.1,58.6,56.8,67.7
2001,55.4,56.9,65.8,63.3,80.3,79.6,77.8,78.8,75.9,73.7,63.2,54.9,68.8
2002,53.9,60.3,61.6,65.0,69.9,76.0,78.4,78.7,80.7,72.2,63.9,56.7,68.1
2003,56.5,61.7,65.0,59.6,71.1,76.8,82.4,79.2,81.2,M,60.9,M,69.4
2004,55.8,M,M,M,M,M,M,M,M,M,M,55.3,55.6
2005,50.7,59.0,65.2,64.8,68.9,71.6,81.7,79.2,74.2,71.7,65.1,56.9,67.4
2006,56.6,61.4,55.0,63.0,72.3,78.4,84.9,76.9,77.1,M,M,M,69.5
2007,55.9,57.7,67.7,66.9,70.7,76.3,78.4,79.9,75.5,69.5,65.6,54.4,68.2
2008,51.9,59.6,63.8,66.2,71.4,79.0,80.7,82.1,80.4,75.1,64.1,52.6,68.9
2009,58.3,56.9,62.5,66.0,71.3,74.1,79.5,81.1,83.1,70.2,63.5,52.4,68.2
2010,52.6,58.0,62.6,62.3,66.7,75.3,75.9,76.1,79.9,70.1,62.8,54.6,66.4
2011,53.7,58.1,58.9,63.5,65.6,72.6,78.3,M,M,M,62.9,M,64.2
2012,M,62.1,60.3,68.0,73.4,77.0,79.7,80.9,78.7,74.4,64.3,56.5,70.5
2013,M,M,66.2,73.6,75.5,79.7,81.2,81.4,M,74.3,67.5,58.5,73.1
2014,65.1,64.0,69.2,72.5,77.1,80.7,82.4,81.3,80.9,79.3,66.9,61.9,73.4
2015,61.5,66.2,71.8,70.9,69.4,80.8,81.9,83.4,83.6,80.0,M,56.8,73.3
2016,57.4,67.1,64.9,70.5,73.0,81.0,80.4,M,M,71.2,65.4,56.2,68.7
2017,56.0,59.9,66.7,67.1,74.7,80.0,84.2,82.2,83.5,77.7,64.0,59.8,71.3
2018,M,64.4,63.0,67.8,70.9,79.5,83.9,79.7,78.7,76.6,67.3,M,73.2
2019,M,M,M,M,M,M,M,M,M,M,M,M,M
2020,M,M,M,M,M,M,M,M,M,M,M,M,M
