Year,Jan,Feb,Mar,April,May,June,July,Aug,Sept,Oct,Nov,Dec,Annual
1980,62,70,71,80,95,93,106,103,93,98,82,73,106
1981,67,72,69,88,91,101,100,105,95,85,74,61,105
1982,59,69,69,81,99,M,101,100,97,85,71,63,101
1983,69,68,69,74,93,93,112,101,101,85,70,60,112
1984,70,68,75,84,101,99,105,105,100,85,68,65,105
1985,60,75,72,87,87,101,100,96,90,91,77,61,101
1986,71,76,81,83,92,98,96,100,97,85,77,65,100
1987,64,74,73,89,96,100,96,101,101,94,72,64,101
1988,70,74,81,87,91,100,107,100,103,92,75,69,107
1989,68,67,70,85,87,97,104,96,94,83,73,67,104
1990,68,73,74,83,91,98,103,105,97,91,80,70,105
1991,66,72,68,77,86,95,105,94,98,95,81,62,105
1992,63,74,71,83,92,99,99,101,94,89,73,62,101
1993,65,72,75,80,89,100,94,103,97,90,76,67,103
1994,69,63,75,83,89,98,99,99,95,85,73,59,99
1995,62,74,80,78,87,99,101,101,95,87,77,70,101
1996,64,73,77,83,92,97,101,106,96,93,78,65,106
1997,63,70,79,84,94,94,99,104,94,87,81,64,104
1998,64,59,70,84,77,88,102,107,102,82,70,68,107
1999,64,62,67,84,91,97,103,99,93,92,77,74,103
2000,61,70,73,87,95,101,97,101,97,89,72,67,101
2001,67,70,77,84,97,101,104,102,93,98,76,59,104
2002,63,72,79,81,92,98,106,100,98,89,74,63,106
2003,66,64,77,75,94,99,103,97,100,89,69,64,103
2004,63,64,83,89,92,95,98,101,97,87,68,65,101
2005,65,69,86,75,89,91,102,101,93,90,73,65,102
2006,67,70,66,83,92,101,107,100,96,86,78,68,107
2007,65,74,80,88,89,98,105,100,98,84,79,65,105
2008,63,72,73,86,100,99,106,100,100,90,79,69,106
2009,73,71,74,89,96,103,103,100,96,81,78,62,103
2010,63,67,79,78,80,98,99,105,98,93,82,64,105
2011,67,74,77,78,86,97,97,95,97,95,76,68,97
2012,68,71,72,87,88,101,103,106,94,96,79,62,106
2013,70,68,75,85,91,104,104,98,96,82,77,68,104
2014,75,73,79,84,91,100,103,101,98,90,80,68,103
2015,72,76,81,82,87,102,102,101,100,92,84,64,102
2016,66,77,77,84,91,101,104,104,98,87,76,66,104
2017,64,68,80,75,92,102,101,103,102,84,67,69,103
2018,64,71,72,77,89,92,96,100,88,79,75,57,100
2019,61,58,69,80,77,90,92,93,88,79,71,60,93
2020,55,66,69,76,90,93,92,98,100,87,75,65,100
