Year,Jan,Feb,Mar,April,May,June,July,Aug,Sept,Oct,Nov,Dec,Annual
1980,66,69,74,82,76,94,83,87,95,102,82,78,102
1981,77,79,74,94,84,97,98,87,87,83,85,71,98
1982,70,75,71,84,77,83,81,98,86,85,79,67,98
1983,79,71,71,72,82,89,100,94,100,92,74,66,100
1984,75,71,79,87,96,84,86,88,95,88,72,67,96
1985,71,79,69,89,78,85,99,86,91,93,76,75,99
1986,76,84,82,84,82,86,79,83,76,86,81,72,86
1987,71,81,80,88,92,85,86,80,91,103,76,66,103
1988,76,82,88,89,94,91,84,91,94,93,79,76,94
1989,75,76,73,94,85,96,93,85,86,89,83,80,96
1990,74,78,77,83,84,85,84,87,84,89,81,73,89
1991,70,77,70,78,80,90,96,92,83,91,79,72,96
1992,72,79,73,86,87,77,83,85,84,91,77,68,91
1993,76,70,78,80,89,97,99,94,92,87,81,68,99
1994,77,70,81,79,78,94,80,86,92,90,71,70,94
1995,75,84,74,80,74,91,92,92,94,91,79,72,94
1996,75,81,78,89,86,98,94,86,88,99,79,70,99
1997,68,76,79,79,94,78,86,88,93,89,88,72,94
1998,67,65,75,82,74,79,84,91,91,82,68,73,91
1999,70,68,69,81,74,76,81,79,83,87,79,73,87
2000,65,71,79,80,93,90,77,79,93,79,70,71,93
2001,74,77,78,78,92,84,81,80,88,82,75,67,92
2002,69,77,71,80,82,84,86,92,89,88,83,67,92
2003,75,68,79,73,84,92,80,85,94,88,73,67,94
2004,67,67,84,92,85,83,82,91,98,89,74,74,98
2005,75,69,79,74,80,78,82,78,85,85,85,70,85
2006,73,78,66,74,84,85,92,91,88,82,75,72,92
2007,71,76,84,82,87,87,85,86,89,89,81,66,89
2008,70,71,75,87,90,102,78,83,93,89,85,72,102
2009,79,77,75,97,91,80,90,99,94,88,85,66,99
2010,69,75,79,77,79,92,81,101,103,85,85,68,103
2011,77,76,85,86,86,77,86,83,87,89,78,70,89
2012,74,79,83,85,83,89,80,90,89,101,88,67,101
2013,76,80,82,85,92,89,82,90,97,93,80,77,97
2014,84,74,82,93,100,85,88,86,87,100,78,66,100
2015,83,82,89,93,76,87,95,101,101,91,77,68,101
2016,68,85,75,91,77,92,86,84,97,90,77,71,97
2017,74,74,83,77,82,85,79,82,110,97,80,81,110
2018,75,79,83,87,81,85,97,83,90,87,80,69,97
2019,74,70,79,81,79,95,88,86,103,97,83,74,103
2020,74,81,74,81,95,95,81,107,104,97,89,82,107
