Year,Jan,Feb,Mar,April,May,June,July,Aug,Sept,Oct,Nov,Dec,Annual
1980,M,M,M,M,M,M,M,M,M,M,M,M,M
1981,M,M,M,M,M,M,M,M,M,M,M,M,M
1982,M,M,M,M,M,M,M,M,M,M,M,M,M
1983,M,M,M,M,M,M,M,M,M,M,M,M,M
1984,M,M,M,M,M,M,M,M,M,M,M,M,M
1985,M,M,M,M,M,M,M,M,M,M,M,M,M
1986,M,M,M,M,M,M,M,M,M,M,M,M,M
1987,M,M,M,M,M,M,M,M,M,M,M,M,M
1988,M,M,M,M,M,M,M,M,M,M,M,M,M
1989,M,M,M,M,M,M,M,M,M,M,M,M,M
1990,M,M,M,M,M,M,M,M,M,M,M,M,M
1991,M,M,M,M,M,M,M,M,M,M,M,M,M
1992,M,M,M,M,M,M,M,M,M,M,M,M,M
1993,M,M,M,M,M,M,M,M,M,M,M,M,M
1994,M,M,M,M,M,M,M,M,M,M,M,M,M
1995,M,M,M,M,M,M,M,M,M,M,M,M,M
1996,M,M,M,M,M,M,M,M,M,M,M,M,M
1997,M,M,M,M,M,M,M,M,M,M,M,M,M
1998,M,M,M,M,M,88,104,106,97,90,67,69,106
1999,62,65,67,87,88,100,102,101,97,93,82,78,102
2000,63,67,80,87,97,108,100,97,104,88,78,66,108
2001,63,74,83,83,100,101,103,99,99,100,78,66,103
2002,61,78,79,84,89,100,103,101,100,96,76,65,103
2003,70,68,79,73,93,102,100,97,103,97,74,65,103
2004,64,69,89,94,90,96,91,99,100,99,74,72,100
2005,65,77,85,79,84,91,101,98,98,89,83,66,101
2006,75,73,65,81,94,102,108,97,97,91,80,65,108
2007,68,79,82,85,93,97,102,100,99,85,81,69,102
2008,66,74,76,90,102,101,102,103,101,90,89,66,103
2009,82,71,83,93,96,99,97,102,101,85,80,65,102
2010,62,71,81,82,83,97,92,107,104,98,83,67,107
2011,77,81,85,82,89,96,99,95,98,88,77,75,99
2012,70,80,76,89,91,103,96,96,96,102,82,69,103
2013,68,72,80,91,93,102,98,95,96,87,80,71,102
2014,76,74,80,92,96,100,98,96,96,98,83,70,100
2015,80,77,83,91,81,102,100,104,102,96,78,63,104
2016,65,85,78,88,93,97,97,90,100,91,77,66,100
2017,64,69,80,84,92,106,108,102,110,93,71,69,110
2018,70,82,85,82,89,99,98,100,94,89,88,67,100
2019,68,59,76,93,81,100,96,101,105,94,81,64,105
2020,72,81,85,90,97,98,99,105,111,105,86,77,111
