Year,Jan,Feb,Mar,April,May,June,July,Aug,Sept,Oct,Nov,Dec,Annual
1980,65,73,78,85,88,95,97,99,100,106,86,71,106
1981,69,75,75,95,87,109,98,99,92,90,83,65,109
1982,67,75,71,86,102,81,89,102,96,90,76,65,102
1983,73,69,76,78,90,93,102,102,105,91,76,70,105
1984,75,72,82,88,102,92,101,102,101,89,73,71,102
1985,64,80,77,91,91,99,101,90,93,97,86,63,101
1986,69,78,81,85,91,100,95,91,88,89,81,67,100
1987,66,73,79,88,98,98,96,98,91,101,71,64,101
1988,71,76,86,90,95,96,106,99,97,90,75,70,106
1989,66,71,74,91,91,98,101,96,94,90,78,69,101
1990,63,72,77,88,92,101,100,97,98,94,78,67,101
1991,70,78,73,86,90,92,101,92,100,99,81,66,101
1992,63,78,73,86,90,81,94,98,95,92,78,64,98
1993,66,69,77,86,90,103,102,102,96,90,79,66,103
1994,68,72,78,80,87,100,93,98,95,86,75,62,100
1995,68,74,73,81,85,101,103,96,96,90,80,74,103
1996,80,76,82,93,92,98,100,98,93,101,76,67,101
1997,64,72,81,85,100,94,91,97,99,90,86,65,100
1998,62,65,74,86,75,90,101,106,96,87,68,66,106
1999,63,66,67,87,82,96,101,100,96,92,81,76,101
2000,64,67,82,87,98,110,92,96,101,92,75,64,110
2001,64,73,82,88,103,98,103,93,97,92,78,69,103
2002,61,75,79,85,90,98,103,101,100,91,75,65,103
2003,70,71,81,77,96,102,102,99,102,94,69,63,102
2004,64,66,88,95,92,95,89,98,100,90,72,66,100
2005,62,74,87,81,87,92,102,96,94,88,80,65,102
2006,71,76,67,82,92,100,108,98,96,85,76,68,108
2007,66,79,83,87,94,100,98,100,94,87,78,64,100
2008,64,73,76,90,102,103,103,102,100,88,86,65,103
2009,79,70,82,95,99,101,97,101,99,88,78,64,101
2010,61,73,81,83,85,94,94,106,101,94,83,64,106
2011,68,80,87,81,88,96,98,93,97,88,79,75,98
2012,70,78,75,90,90,101,96,95,95,100,82,71,101
2013,67,73,79,92,92,99,98,94,97,87,77,68,99
2014,72,76,80,91,96,100,101,90,96,96,79,67,101
2015,77,76,84,91,97,103,94,105,103,95,79,64,105
2016,65,79,77,92,92,99,98,88,99,89,78,64,99
2017,64,70,81,83,94,103,102,101,108,93,70,70,108
2018,67,79,84,84,90,99,94,92,89,87,83,68,99
2019,67,66,77,90,80,104,96,101,100,93,78,64,104
2020,67,79,81,87,99,98,92,107,111,98,88,74,111
