Year,Jan,Feb,Mar,April,May,June,July,Aug,Sept,Oct,Nov,Dec,Annual
1980,30,40,34,41,36,41,48,M,50,43,39,33,30
1981,M,M,M,M,M,M,M,M,M,M,M,M,M
1982,M,M,M,M,M,M,M,M,M,M,M,M,M
1983,M,M,M,M,M,M,M,M,M,M,M,M,M
1984,M,M,M,M,44,50,53,53,50,43,37,32,32
1985,32,33,37,44,42,49,51,49,49,43,31,30,30
1986,39,35,39,40,44,52,50,52,47,46,36,36,35
1987,33,35,35,44,46,50,52,49,47,M,35,32,32
1988,34,33,37,43,44,45,51,51,44,44,41,31,31
1989,31,26,37,41,46,49,50,M,50,41,38,33,26
1990,33,30,38,43,44,49,53,54,53,46,36,20,20
1991,M,37,37,42,42,46,50,52,50,40,38,35,35
1992,33,36,42,42,48,42,51,40,36,38,34,23,23
1993,27,21,34,42,27,39,50,53,46,47,34,31,21
1994,36,34,35,41,45,47,49,51,50,41,33,31,31
1995,35,34,37,41,45,49,53,51,51,43,42,36,34
1996,38,32,36,40,40,43,52,41,41,42,39,31,31
1997,29,31,27,32,38,38,42,47,40,53,33,22,22
1998,33,37,38,38,44,49,52,50,52,43,37,25,25
1999,32,33,37,37,44,47,49,52,49,43,39,34,32
2000,36,37,38,43,43,48,49,50,48,43,32,36,32
2001,34,34,37,39,50,50,52,52,46,46,39,41,34
2002,30,34,36,41,43,46,50,50,48,39,41,39,30
2003,41,32,39,39,43,50,48,52,50,46,36,32,32
2004,35,37,45,40,45,47,52,52,54,45,34,32,32
2005,36,41,39,39,48,48,52,50,46,43,36,34,34
2006,36,32,34,39,45,50,52,50,46,45,55,32,32
2007,28,36,37,43,45,46,52,50,46,45,36,32,28
2008,36,36,36,37,43,46,50,50,48,45,41,30,30
2009,28,36,34,37,46,48,50,50,50,45,37,28,28
2010,39,39,37,39,43,48,50,50,50,41,32,34,32
2011,32,28,36,37,43,46,48,M,M,43,38,56,28
2012,36,33,37,36,45,49,50,49,46,47,37,32,32
2013,33,38,39,44,47,50,50,52,50,42,39,29,29
2014,36,37,41,45,47,48,50,52,53,48,40,36,36
2015,33,40,41,40,47,49,55,54,50,51,33,32,32
2016,32,39,42,44,49,50,51,51,50,48,37,32,32
2017,32,34,37,38,46,49,51,52,50,43,37,33,32
2018,36,32,34,39,45,47,51,50,48,46,37,38,32
2019,M,M,M,M,M,M,M,M,M,M,M,M,M
2020,M,M,M,M,M,M,M,M,M,M,M,M,M
