Year,Jan,Feb,Mar,April,May,June,July,Aug,Sept,Oct,Nov,Dec,Annual
1980,27,35,33,37,39,41,46,49,46,40,32,28,27
1981,32,33,36,34,40,48,50,49,45,35,34,35,32
1982,28,31,32,33,41,38,49,48,48,40,34,29,28
1983,30,35,36,33,39,47,45,50,48,45,34,30,30
1984,29,33,36,34,40,47,47,46,43,37,33,29,29
1985,27,29,33,41,41,47,52,47,46,42,29,27,27
1986,30,33,37,37,36,49,50,52,47,48,34,34,30
1987,23,32,32,40,43,48,47,48,46,44,32,28,23
1988,31,29,34,39,38,42,50,51,45,42,36,28,28
1989,28,25,32,37,40,46,47,48,48,38,34,28,25
1990,28,26,32,40,42,43,50,53,48,43,29,14,14
1991,25,35,31,37,39,44,52,49,49,37,34,30,25
1992,30,33,39,39,47,46,50,48,45,46,33,28,28
1993,27,33,38,40,42,48,52,43,44,45,28,27,27
1994,33,31,34,39,44,46,50,49,49,38,32,28,28
1995,34,32,33,37,42,45,50,49,44,31,38,35,31
1996,35,46,35,37,39,45,50,48,46,39,36,31,31
1997,25,34,33,35,41,48,50,52,50,42,41,25,25
1998,28,35,33,35,40,47,51,52,50,40,35,22,22
1999,29,30,33,32,39,41,46,49,48,38,36,30,29
2000,30,33,37,40,38,47,48,50,45,40,29,31,29
2001,29,30,35,33,44,47,52,50,46,44,36,35,29
2002,27,31,30,36,40,47,50,48,45,35,37,34,27
2003,36,28,35,35,39,48,49,52,48,38,31,29,28
2004,28,33,38,38,45,47,51,51,44,39,30,29,28
2005,32,37,37,36,42,45,52,50,45,42,31,30,30
2006,33,29,30,37,45,48,51,51,43,41,30,27,27
2007,25,33,34,36,41,45,49,49,42,39,32,29,25
2008,30,33,33,32,41,46,51,48,43,42,38,26,26
2009,25,30,32,36,44,48,49,49,43,40,33,24,24
2010,35,35,33,36,37,46,49,47,46,38,28,30,28
2011,27,28,33,34,42,44,51,49,47,39,34,27,27
2012,23,30,34,33,42,45,50,47,46,43,34,28,23
2013,25,29,34,39,42,48,51,50,47,39,34,24,24
2014,32,30,39,40,45,48,52,53,49,42,36,32,30
2015,28,37,37,36,43,50,52,52,48,46,28,27,27
2016,30,37,36,41,44,49,50,51,46,44,35,27,27
2017,28,31,34,38,41,45,51,53,46,41,35,30,28
2018,33,27,31,38,44,47,49,50,45,42,33,34,27
2019,30,29,36,43,43,47,51,52,44,38,29,32,29
2020,32,32,33,37,43,47,50,53,49,42,33,33,32
