Year,Jan,Feb,Mar,April,May,June,July,Aug,Sept,Oct,Nov,Dec,Annual
1980,30,38,33,37,38,44,50,51,50,41,35,29,29
1981,29,32,35,36,41,47,53,52,49,39,34,36,29
1982,28,32,33,32,41,M,53,54,46,41,31,29,28
1983,29,35,36,35,40,49,48,54,53,40,32,29,29
1984,31,31,36,33,42,48,51,56,49,37,32,26,26
1985,26,30,30,42,43,45,53,53,44,41,29,26,26
1986,34,30,37,38,38,51,51,56,45,40,36,30,30
1987,26,31,32,34,45,50,51,51,50,51,34,27,26
1988,31,34,34,38,35,43,55,50,50,44,34,27,27
1989,29,22,29,40,43,49,55,51,47,38,36,28,22
1990,29,26,33,41,42,46,53,52,53,46,31,17,17
1991,29,38,32,36,40,47,58,52,52,36,32,30,29
1992,26,36,40,43,50,48,53,53,53,49,35,24,24
1993,28,33,35,41,43,47,56,53,50,48,30,24,24
1994,30,32,33,39,44,49,56,55,49,43,31,29,29
1995,33,34,33,35,43,42,53,53,50,44,36,32,32
1996,31,30,35,40,46,51,57,53,50,36,34,33,30
1997,23,35,35,35,46,51,51,56,50,40,42,30,23
1998,34,35,33,34,40,49,54,55,51,43,34,21,21
1999,27,30,34,30,42,43,50,51,51,43,34,32,27
2000,25,34,36,41,38,48,51,55,48,42,33,32,25
2001,30,29,35,34,42,51,53,54,51,48,30,31,29
2002,26,30,29,38,41,49,58,52,48,45,38,34,26
2003,33,33,36,33,37,50,57,56,55,41,30,31,30
2004,30,32,36,40,47,50,54,53,51,38,31,30,30
2005,30,39,37,36,44,45,55,58,51,45,34,30,30
2006,33,32,32,39,45,52,52,55,49,38,32,27,27
2007,24,27,32,36,40,47,53,52,43,40,37,24,24
2008,29,31,36,34,41,48,53,55,50,36,37,27,27
2009,30,31,32,31,48,50,53,53,46,32,31,16,16
2010,34,35,33,35,36,46,55,53,48,40,33,29,29
2011,23,28,33,31,38,43,52,57,54,42,35,31,23
2012,27,32,31,33,43,46,53,55,50,43,38,26,26
2013,21,29,34,36,40,50,55,55,45,42,37,5,5
2014,36,32,39,37,46,50,57,57,51,45,39,30,30
2015,27,37,38,37,43,51,55,55,50,47,31,26,26
2016,30,34,37,39,44,46,52,51,50,46,37,29,29
2017,31,31,35,35,41,45,58,55,46,40,37,29,29
2018,29,22,30,31,41,44,52,48,44,38,35,27,22
2019,25,24,30,33,35,44,48,51,34,34,27,27,24
2020,28,22,27,31,40,41,49,49,49,38,27,26,22
