Year,Jan,Feb,Mar,April,May,June,July,Aug,Sept,Oct,Nov,Dec,Annual
1980,32,34,37,38,40,42,47,49,42,40,34,33,32
1981,35,34,38,35,38,45,43,38,44,39,36,35,34
1982,28,32,35,36,41,44,49,48,46,42,36,30,28
1983,32,37,39,36,40,45,45,49,47,45,35,33,32
1984,31,34,38,37,39,44,48,50,40,39,35,30,30
1985,29,31,34,41,40,42,52,47,45,39,29,26,26
1986,35,31,35,39,38,47,45,50,44,41,33,33,31
1987,29,31,35,38,45,45,45,48,46,44,33,29,29
1988,29,30,33,38,39,41,46,48,43,42,36,27,27
1989,29,24,34,39,41,46,47,47,45,40,33,30,24
1990,29,25,33,39,42,44,46,50,43,41,33,19,19
1991,30,36,34,38,41,42,52,50,50,37,34,33,30
1992,31,34,42,42,46,46,51,48,46,46,32,30,30
1993,27,35,39,39,42,46,50,49,44,44,32,31,27
1994,33,30,34,41,45,45,49,48,47,41,32,29,29
1995,35,33,37,37,43,44,50,47,49,42,43,37,33
1996,34,32,35,40,42,46,47,48,47,39,37,34,32
1997,29,37,33,38,41,45,49,50,49,42,42,29,29
1998,34,37,35,37,42,49,51,49,49,41,37,25,25
1999,32,30,34,33,39,42,45,48,46,43,38,34,30
2000,33,36,38,41,43,45,46,48,48,43,33,35,33
2001,30,34,36,34,45,45,50,47,48,45,38,36,30
2002,28,32,33,38,40,46,49,47,46,39,38,36,28
2003,38,32,36,37,39,47,49,52,50,43,32,32,32
2004,31,35,41,40,44,47,49,50,44,42,32,31,31
2005,33,38,41,40,43,45,51,48,46,42,38,32,32
2006,33,32,33,40,45,48,47,51,43,43,32,29,29
2007,26,35,33,39,42,45,49,49,44,40,35,30,26
2008,33,32,34,36,39,43,49,49,45,39,40,30,30
2009,28,34,34,36,45,47,47,49,42,40,34,27,27
2010,37,38,35,37,40,45,47,45,45,40,29,31,29
2011,29,28,33,32,40,43,49,49,47,39,36,28,28
2012,26,33,33,34,41,42,47,47,45,43,34,30,26
2013,28,29,37,37,42,45,52,48,44,41,37,25,25
2014,35,34,39,40,43,46,50,52,48,46,37,32,32
2015,29,35,37,37,43,46,50,52,47,49,30,27,27
2016,35,37,37,41,43,46,48,51,47,48,36,30,30
2017,32,33,37,35,45,46,55,51,46,40,40,31,31
2018,36,31,32,44,48,45,50,49,47,43,38,38,31
2019,32,31,35,44,43,46,52,52,45,39,35,35,31
2020,39,35,37,37,42,46,49,52,50,41,33,33,33
