Year,Jan,Feb,Mar,April,May,June,July,Aug,Sept,Oct,Nov,Dec,Annual
1980,M,M,M,M,M,M,M,M,M,M,M,M,M
1981,M,M,M,M,M,M,M,M,M,M,M,M,M
1982,M,M,M,M,M,M,M,M,M,M,M,M,M
1983,M,M,M,M,M,M,M,M,M,M,M,M,M
1984,M,M,M,M,M,M,M,M,M,M,M,M,M
1985,M,M,M,M,M,M,M,M,M,M,M,M,M
1986,M,M,M,M,M,M,M,M,M,M,M,M,M
1987,M,M,M,M,M,M,M,M,M,M,M,M,M
1988,M,M,M,M,M,M,M,M,M,M,M,M,M
1989,M,M,M,M,M,M,M,M,M,M,M,M,M
1990,M,M,M,M,M,M,M,M,M,M,M,M,M
1991,M,M,M,M,M,M,M,M,M,M,M,M,M
1992,M,M,M,M,M,M,M,M,M,M,M,M,M
1993,M,M,M,M,M,M,M,M,M,M,M,M,M
1994,M,M,M,M,M,M,M,M,M,M,M,M,M
1995,M,M,M,M,M,M,M,M,M,M,M,M,M
1996,M,M,M,M,M,M,M,M,M,M,M,M,M
1997,M,M,M,M,M,M,M,M,M,M,M,M,M
1998,M,M,M,M,M,46,45,46,47,36,33,21,21
1999,26,28,31,31,36,39,45,46,44,35,32,27,26
2000,29,32,35,36,36,41,45,45,43,37,26,27,26
2001,26,28,33,32,39,43,47,45,42,39,33,32,26
2002,26,30,31,34,37,41,45,46,42,30,31,31,26
2003,33,28,32,32,37,43,44,46,42,36,26,28,26
2004,27,31,38,35,42,43,46,48,40,34,27,26,26
2005,30,32,34,34,39,40,49,45,39,38,29,26,26
2006,30,27,31,36,40,45,45,44,41,36,29,24,24
2007,20,29,32,36,38,41,44,44,39,37,28,23,20
2008,26,31,30,32,37,40,44,43,40,35,34,24,24
2009,26,27,28,32,39,44,41,44,40,37,29,21,21
2010,32,34,31,33,35,44,45,42,42,36,28,29,28
2011,25,26,33,33,39,45,47,45,46,36,30,25,25
2012,21,27,31,33,40,42,45,46,39,39,30,26,21
2013,23,28,34,41,39,42,45,44,41,34,30,19,19
2014,23,27,36,37,42,44,48,50,48,41,34,30,23
2015,27,30,33,35,39,45,48,48,44,43,23,27,23
2016,24,35,34,40,42,45,47,46,42,39,33,25,24
2017,26,29,32,34,39,44,47,47,41,36,30,26,26
2018,31,25,30,33,41,44,47,46,42,37,26,31,25
2019,28,27,33,42,38,46,47,49,37,27,25,28,25
2020,29,32,30,32,37,44,47,48,47,35,27,28,27
