Year,Jan,Feb,Mar,April,May,June,July,Aug,Sept,Oct,Nov,Dec,Annual
1980,51.6,55.8,56.3,58.6,59.9,62.9,68.7,M,68.4,65.7,59.5,53.0,60.0
1981,M,M,M,M,M,M,M,M,M,M,M,M,M
1982,M,M,M,M,M,M,M,M,M,M,M,M,M
1983,M,M,M,M,M,M,M,M,M,M,M,M,M
1984,M,M,M,M,63.8,64.8,71.1,69.1,72.0,M,52.1,46.5,62.8
1985,43.8,52.7,51.1,60.4,59.5,69.4,69.5,66.4,64.0,61.0,50.5,44.1,57.7
1986,M,54.2,57.5,57.5,61.3,64.9,66.4,66.2,61.7,62.5,56.6,47.6,59.7
1987,47.7,52.5,52.8,60.4,63.7,65.0,64.7,67.2,66.2,M,55.0,49.1,58.6
1988,48.8,55.5,58.0,59.2,61.1,65.8,71.5,68.5,66.4,63.2,54.9,49.6,60.2
1989,47.0,48.4,55.2,61.1,61.4,65.4,68.2,M,64.0,61.4,55.7,46.9,57.7
1990,48.9,48.6,54.6,59.6,60.6,65.8,68.6,69.3,68.6,64.3,54.7,44.4,59.0
1991,M,54.9,51.1,56.3,58.0,62.0,67.4,66.6,67.1,65.4,56.6,48.2,59.4
1992,45.5,54.8,56.0,60.9,64.9,63.1,68.2,68.3,65.8,63.0,55.3,46.1,59.3
1993,44.8,48.8,55.4,56.9,57.7,M,66.8,69.0,M,M,53.9,46.6,55.5
1994,48.9,48.8,55.5,57.3,59.7,64.5,64.1,67.8,66.3,60.7,49.0,45.2,57.3
1995,51.4,53.0,52.6,55.8,58.3,64.2,69.2,68.4,66.9,63.6,58.4,52.1,59.5
1996,49.5,53.0,55.3,58.4,60.7,65.0,69.4,68.7,64.6,61.9,55.0,50.7,59.4
1997,48.8,52.3,55.9,58.7,66.5,64.4,66.8,68.6,67.7,M,54.3,47.6,59.2
1998,49.9,50.5,54.3,55.9,57.2,63.4,68.2,70.9,67.3,61.1,53.5,46.5,58.2
1999,46.7,49.3,50.5,55.9,56.8,64.0,66.0,67.6,66.7,63.8,55.9,50.1,57.8
2000,50.5,51.7,55.2,58.7,62.4,66.0,M,67.6,67.6,59.4,50.5,49.5,58.1
2001,47.7,49.8,56.2,53.9,66.3,66.8,66.0,66.7,64.5,62.8,55.6,50.1,58.9
2002,46.7,51.5,52.6,56.1,59.0,64.4,66.5,66.3,66.9,60.6,55.2,51.2,58.1
2003,51.4,52.6,55.9,52.3,60.1,65.5,68.6,68.0,68.5,M,52.8,M,59.6
2004,M,M,M,M,M,M,M,M,M,M,M,49.1,49.1
2005,46.2,52.7,56.2,55.6,60.7,62.5,68.7,66.1,62.9,61.0,56.1,50.9,58.3
2006,50.2,51.7,48.6,55.2,61.3,66.9,70.9,65.2,64.5,M,M,M,59.4
2007,47.0,50.9,56.5,56.9,60.4,64.1,67.0,67.8,65.0,59.7,55.3,47.4,58.2
2008,46.5,51.1,53.6,55.4,60.8,65.6,67.8,68.8,67.2,63.1,56.4,46.0,58.5
2009,50.0,49.9,53.5,55.8,60.8,64.0,66.3,67.9,69.3,60.7,54.2,46.3,58.2
2010,48.4,52.0,53.2,53.7,57.3,64.4,64.6,64.5,67.1,61.1,53.8,50.0,57.5
2011,47.5,48.8,52.1,55.1,56.4,62.5,66.7,M,M,M,53.7,M,55.4
2012,M,52.3,52.0,57.9,61.3,64.8,66.4,67.0,64.3,63.5,56.0,49.3,59.5
2013,M,M,55.4,61.4,63.6,67.6,67.9,69.1,M,60.9,56.8,48.1,61.2
2014,54.2,55.8,58.8,60.8,64.8,67.1,69.7,69.0,69.0,66.4,58.0,56.0,62.5
2015,52.5,57.2,60.0,M,60.0,67.5,70.1,71.1,69.8,67.7,M,49.9,62.6
2016,52.0,56.5,56.7,60.5,62.6,67.7,67.0,M,M,62.2,56.6,48.2,59.0
2017,48.8,53.1,56.7,57.8,62.9,67.6,69.3,69.4,71.1,64.1,55.9,50.2,60.6
2018,M,53.0,53.3,57.5,61.1,66.4,69.3,67.2,65.5,64.2,56.7,M,61.4
2019,M,M,M,M,M,M,M,M,M,M,M,M,M
2020,M,M,M,M,M,M,M,M,M,M,M,M,M
