Year,Jan,Feb,Mar,April,May,June,July,Aug,Sept,Oct,Nov,Dec,Annual
1980,47.2,51.3,49.9,56.6,60.9,65.4,76.6,74.1,70.3,65.9,54.9,48.7,60.2
1981,48.0,50.3,50.4,57.3,64.7,76.7,78.1,76.7,73.4,59.3,54.2,47.9,61.4
1982,41.1,49.1,48.9,53.0,65.1,M,75.5,75.5,68.8,61.1,47.8,44.8,57.3
1983,44.5,49.5,50.2,52.1,63.2,69.3,72.0,76.3,73.2,64.8,49.8,46.9,59.3
1984,46.1,47.4,54.6,54.2,66.5,70.8,80.2,76.8,M,56.6,48.5,43.4,58.6
1985,42.1,50.1,47.3,61.0,62.5,75.1,80.0,73.3,65.9,61.4,48.0,45.1,59.3
1986,52.5,50.8,56.6,56.2,63.6,71.9,74.7,78.5,64.6,63.4,55.1,45.6,61.1
1987,43.1,49.2,51.2,62.8,66.9,73.1,71.1,75.4,72.3,68.2,51.5,44.0,60.7
1988,46.9,53.3,54.5,57.4,61.1,69.6,M,M,74.0,67.4,51.9,M,59.6
1989,43.1,45.4,M,M,62.7,70.5,76.7,M,M,61.6,54.3,47.5,57.7
1990,45.6,44.6,54.4,M,61.6,69.1,M,76.9,72.7,66.1,53.0,41.1,58.5
1991,46.6,54.8,46.4,54.5,M,67.6,M,M,76.5,69.9,54.0,46.3,57.4
1992,43.9,52.6,53.7,M,71.0,71.5,76.2,79.9,M,M,53.8,43.1,60.6
1993,45.4,47.1,55.0,56.3,63.2,69.8,75.9,M,73.2,M,53.2,45.0,58.4
1994,47.9,M,55.6,57.5,63.1,72.2,78.8,77.8,M,61.9,45.6,M,62.3
1995,48.9,M,50.4,M,59.7,66.6,M,M,M,M,58.6,48.4,55.4
1996,46.8,51.4,53.8,57.9,63.6,72.8,81.3,79.9,70.7,61.8,53.6,48.3,61.8
1997,45.8,49.7,56.2,58.4,69.9,71.2,77.3,76.0,73.1,61.8,54.9,45.3,61.6
1998,47.8,46.1,52.7,53.7,55.5,66.1,77.0,79.6,72.5,61.4,50.3,43.7,58.9
1999,46.1,46.1,49.4,54.9,62.3,69.6,74.2,74.6,74.1,67.0,55.9,48.2,60.2
2000,47.0,49.2,52.5,59.6,64.5,75.0,74.3,77.4,70.9,61.4,48.1,49.4,60.8
2001,45.2,46.5,55.5,53.2,72.1,74.5,76.9,77.6,72.6,67.4,55.0,45.6,61.8
2002,44.4,50.1,51.1,57.2,63.0,74.0,79.5,76.4,73.3,62.4,55.5,48.2,61.3
2003,50.9,48.9,53.5,50.6,M,M,81.3,75.2,75.2,69.1,49.8,48.0,60.2
2004,45.3,46.0,57.6,59.9,M,M,77.7,M,M,M,M,M,57.3
2005,M,M,54.3,M,M,M,M,M,M,M,M,M,54.3
2006,M,M,M,M,67.7,M,M,M,72.9,M,M,M,70.3
2007,M,M,56.5,M,M,73.3,M,78.7,M,M,56.0,M,66.1
2008,M,49.0,M,55.9,65.3,M,79.1,M,74.1,M,M,43.5,61.2
2009,M,M,50.8,54.6,67.7,70.1,M,76.9,M,61.3,M,M,63.6
2010,M,50.1,M,M,M,69.9,76.6,75.0,M,M,M,M,67.9
2011,M,M,48.9,53.8,M,67.3,M,77.8,77.4,M,M,46.4,61.9
2012,M,50.6,50.1,56.4,M,M,M,M,M,M,M,M,52.4
2013,M,M,55.1,60.1,M,M,M,M,M,62.6,M,M,59.3
2014,M,M,55.8,59.5,M,M,M,M,M,66.2,M,M,60.5
2015,M,55.2,M,M,M,M,M,M,M,M,M,M,55.2
2016,M,M,54.3,60.0,M,75.8,M,78.9,M,M,M,M,67.3
2017,M,M,M,M,M,M,M,M,M,M,M,M,M
2018,M,M,M,M,M,M,M,M,M,M,M,M,M
2019,M,M,M,M,M,M,M,M,M,M,M,M,M
2020,M,M,M,M,M,M,M,M,M,M,M,M,M
