Year,Jan,Feb,Mar,April,May,June,July,Aug,Sept,Oct,Nov,Dec,Annual
1980,51.2,54.4,53.5,56.5,56.9,61.1,64.5,63.4,62.7,60.5,54.6,52.3,57.6
1981,53.2,53.4,52.7,56.7,58.8,65.5,62.0,62.0,61.4,57.1,56.4,51.7,57.6
1982,46.5,53.4,51.5,56.0,57.5,60.2,63.3,64.1,63.3,60.2,53.5,50.2,56.6
1983,51.6,53.1,53.5,54.5,59.2,62.1,65.2,67.1,67.8,62.8,53.6,51.9,58.5
1984,51.0,51.7,56.0,55.4,63.0,61.0,65.1,65.6,68.4,58.8,52.3,48.4,58.1
1985,48.6,52.1,50.7,58.4,57.7,63.3,66.2,64.2,63.2,58.5,51.4,50.9,57.1
1986,54.6,54.5,56.8,55.8,58.5,62.8,62.4,62.8,59.9,60.6,56.2,50.5,58.0
1987,48.9,53.0,53.8,58.3,61.2,61.9,63.3,64.3,64.1,63.4,54.9,49.7,58.1
1988,50.8,54.8,56.6,58.2,59.5,61.8,64.6,64.4,63.1,59.8,54.7,49.0,58.1
1989,48.5,48.8,55.4,59.0,58.8,63.5,63.7,62.0,61.6,59.2,55.5,52.2,57.4
1990,50.3,49.4,52.9,59.1,58.3,63.3,65.0,65.3,64.1,60.9,54.5,45.6,57.4
1991,49.6,54.9,49.9,54.8,57.1,59.6,62.6,65.5,62.7,61.2,55.9,50.7,57.0
1992,50.6,55.5,56.2,61.1,61.9,62.9,66.7,65.3,63.8,62.8,56.0,49.4,59.4
1993,49.0,51.0,57.1,57.5,60.8,64.0,62.8,65.0,62.6,62.0,54.5,50.9,58.1
1994,52.5,50.3,56.3,56.7,58.6,62.0,60.8,63.1,63.4,59.8,49.6,49.2,56.9
1995,53.1,56.1,54.1,55.9,57.4,61.9,65.9,64.3,64.2,61.7,58.4,53.5,58.9
1996,52.7,55.0,55.5,58.9,60.3,62.2,64.0,63.2,62.0,60.0,55.2,52.8,58.5
1997,51.8,53.5,54.9,58.4,63.6,62.0,63.0,66.5,67.6,60.9,57.4,51.6,59.3
1998,52.9,51.4,54.7,55.3,57.0,61.4,63.6,64.5,63.4,58.3,53.2,47.0,56.9
1999,50.3,49.6,50.7,54.3,56.1,58.4,62.3,63.6,61.2,60.6,54.9,50.9,56.1
2000,51.0,53.1,54.0,57.7,60.7,62.1,61.5,62.3,63.3,58.3,50.7,52.7,57.3
2001,49.0,50.5,55.4,53.3,61.1,62.5,62.0,62.4,61.2,59.6,55.2,50.3,56.9
2002,47.3,52.6,52.0,55.2,57.0,61.5,61.9,62.2,62.3,58.6,56.2,51.4,56.5
2003,55.5,52.1,54.6,53.7,59.1,61.8,63.1,66.5,64.9,62.0,53.1,51.4,58.2
2004,49.8,51.2,58.7,57.6,60.4,62.1,63.3,64.6,64.7,59.0,53.1,51.5,58.0
2005,50.8,54.3,56.1,55.3,60.1,61.3,63.5,63.4,61.3,59.2,57.5,52.2,57.9
2006,50.8,52.3,49.9,54.7,59.8,62.9,65.3,62.4,61.4,59.6,54.8,49.5,57.0
2007,47.6,51.7,55.4,56.0,58.3,61.5,64.2,64.1,62.9,59.2,55.0,48.4,57.0
2008,48.1,50.9,53.3,55.6,58.3,62.4,63.6,63.8,64.5,61.8,57.4,48.5,57.4
2009,52.5,51.8,53.3,56.4,59.1,62.1,63.9,65.9,65.7,60.0,54.5,49.2,57.9
2010,51.8,53.2,53.7,54.4,57.8,62.7,61.5,62.9,65.2,60.0,53.1,50.9,57.3
2011,51.6,50.0,54.3,56.9,57.3,60.4,63.5,62.5,63.2,62.1,52.4,48.7,56.9
2012,50.7,52.8,53.8,56.9,59.6,62.2,63.3,64.8,62.8,62.6,56.5,49.6,58.0
2013,49.2,50.7,57.2,60.4,63.1,64.6,65.0,67.4,67.2,60.0,56.1,49.9,59.2
2014,55.6,54.5,59.0,59.8,64.5,63.7,67.9,67.9,66.8,65.6,56.8,53.8,61.3
2015,55.5,58.1,60.7,59.7,60.7,65.7,69.7,70.9,68.7,66.1,53.5,49.6,61.6
2016,53.3,57.9,56.9,60.6,60.6,64.0,63.5,64.3,65.3,62.3,58.0,50.5,59.8
2017,50.0,54.0,56.8,57.7,60.7,64.7,M,M,70.1,63.3,58.8,52.7,58.9
2018,54.9,53.7,54.5,61.4,63.2,63.4,66.7,64.5,63.0,64.0,58.1,53.0,60.0
2019,54.4,50.2,54.8,60.1,59.7,64.1,65.2,67.2,70.0,62.6,55.9,54.8,59.9
2020,M,54.4,M,M,62.5,M,M,68.7,M,M,M,52.1,59.4
