Year,Jan,Feb,Mar,April,May,June,July,Aug,Sept,Oct,Nov,Dec,Annual
1980,M,M,M,M,M,M,M,M,M,M,M,M,M
1981,M,M,M,M,M,M,M,M,M,M,M,M,M
1982,M,M,M,M,M,M,M,M,M,M,M,M,M
1983,M,M,M,M,M,M,M,M,M,M,M,M,M
1984,M,M,M,M,M,M,M,M,M,M,M,M,M
1985,M,M,M,M,M,M,M,M,M,M,M,M,M
1986,M,M,M,M,M,M,M,M,M,M,M,M,M
1987,M,M,M,M,M,M,M,M,M,M,M,M,M
1988,M,M,M,M,M,M,M,M,M,M,M,M,M
1989,M,M,M,M,M,M,M,M,M,M,M,M,M
1990,M,M,M,M,M,M,M,M,M,M,M,M,M
1991,M,M,M,M,M,M,M,M,M,M,M,M,M
1992,M,M,M,M,M,M,M,M,M,M,M,M,M
1993,M,M,M,M,M,M,M,M,M,M,M,M,M
1994,M,M,M,M,M,M,M,M,M,M,M,M,M
1995,M,M,M,M,M,M,M,M,M,M,M,M,M
1996,M,M,M,M,M,M,M,M,M,M,M,M,M
1997,M,M,M,M,M,M,M,M,M,M,M,M,M
1998,M,M,M,M,M,M,68.0,70.1,66.2,58.9,51.4,44.1,59.8
1999,45.5,47.1,48.7,55.2,58.7,64.3,65.8,67.5,65.7,61.9,53.9,47.1,56.8
2000,48.3,50.7,52.9,56.4,61.2,65.3,65.7,67.4,66.8,59.0,49.0,46.7,57.5
2001,44.3,48.0,55.1,53.2,65.3,68.2,66.4,68.2,65.2,62.8,54.0,48.8,58.3
2002,45.4,50.5,51.3,55.5,59.5,67.5,67.5,66.8,66.0,59.6,54.1,48.7,57.7
2003,51.3,49.5,54.0,51.1,60.1,65.9,69.1,67.9,67.7,63.5,50.4,48.4,58.2
2004,47.7,49.9,59.3,58.3,62.0,65.8,66.9,69.0,68.3,59.3,51.5,48.3,58.9
2005,45.9,52.3,54.9,54.5,60.1,63.7,69.0,66.9,63.6,59.9,53.7,48.8,57.8
2006,48.5,50.0,48.0,54.7,60.9,67.4,71.3,65.5,64.7,59.1,52.6,46.1,57.4
2007,44.9,48.9,55.2,56.0,60.8,65.5,68.2,68.1,64.3,57.8,53.5,45.9,57.4
2008,45.6,49.3,51.9,54.9,61.9,66.8,67.7,69.1,65.2,61.5,54.5,43.1,57.6
2009,47.8,48.1,52.5,55.3,60.9,63.8,65.9,67.3,67.5,59.9,51.2,44.7,57.1
2010,47.8,50.3,51.0,52.1,56.6,66.7,65.4,65.9,67.3,60.9,52.8,49.7,57.2
2011,48.1,48.0,51.8,55.9,57.6,63.3,66.9,67.0,67.9,61.6,50.3,46.5,57.1
2012,47.7,51.1,50.8,56.7,62.1,65.2,66.9,66.9,64.1,62.1,54.3,47.2,57.9
2013,44.9,49.5,53.5,60.0,63.3,66.8,66.6,67.7,66.0,59.3,54.2,44.5,58.0
2014,49.9,51.8,56.1,58.3,64.0,66.4,68.5,67.8,67.2,64.5,55.7,52.8,60.3
2015,50.3,54.9,57.7,57.8,59.8,67.0,69.1,70.0,68.8,66.2,51.5,47.3,60.0
2016,50.0,54.9,55.0,59.3,61.7,67.0,67.7,66.1,66.7,60.3,54.6,45.8,59.1
2017,46.5,51.3,54.9,56.5,61.9,67.7,69.4,69.0,69.7,62.2,53.6,46.6,59.1
2018,49.5,50.8,51.5,55.5,61.5,66.6,68.7,67.5,65.0,62.7,53.6,48.7,58.5
2019,50.0,46.4,52.0,59.6,58.4,66.9,68.7,70.9,67.9,60.3,53.7,49.9,58.7
2020,48.8,53.2,51.3,57.8,62.2,67.5,67.5,71.0,70.0,66.1,51.4,47.7,59.5
