Year,Jan,Feb,Mar,April,May,June,July,Aug,Sept,Oct,Nov,Dec,Annual
1980,49.5,54.8,54.3,57.6,59.1,63.1,68.1,65.3,66.0,64.2,55.5,50.5,59.0
1981,50.7,54.1,54.4,59.0,63.5,73.2,68.5,67.9,66.9,60.1,57.2,51.9,60.6
1982,45.0,53.2,51.6,56.5,62.0,62.0,67.0,68.8,68.7,63.3,51.2,48.8,58.2
1983,M,53.9,54.7,55.7,61.8,67.0,69.7,71.6,71.2,65.2,53.8,51.7,61.5
1984,49.6,50.8,57.8,57.6,66.7,67.1,70.5,68.8,72.5,61.5,52.4,46.8,60.2
1985,44.6,53.7,51.5,61.4,62.2,69.3,69.9,67.1,64.9,61.4,50.7,45.3,58.5
1986,52.7,55.1,57.9,57.3,62.1,66.6,67.5,68.5,M,65.5,56.8,48.4,59.9
1987,47.6,51.9,53.9,60.9,64.6,66.4,65.9,66.8,66.3,64.4,53.4,48.3,59.2
1988,48.4,53.3,56.7,58.4,61.5,66.6,71.4,67.8,66.7,62.7,54.1,47.6,59.6
1989,45.8,47.0,54.9,60.2,61.9,67.3,69.0,67.4,66.3,60.9,54.3,45.0,58.3
1990,46.6,46.9,53.6,60.4,61.7,66.9,69.1,69.2,67.9,63.3,54.0,42.3,58.5
1991,47.5,54.9,50.9,55.9,59.4,63.9,67.3,67.6,67.7,65.2,55.7,47.3,58.6
1992,45.6,54.6,55.7,61.3,65.4,65.0,69.6,69.3,67.5,64.6,55.1,45.1,59.9
1993,45.8,49.5,57.1,57.3,63.4,69.0,68.5,69.3,66.5,63.9,53.2,46.8,59.2
1994,48.8,49.5,55.9,58.4,61.5,67.6,66.1,69.2,66.7,61.7,48.6,46.0,58.3
1995,52.4,54.4,53.2,57.3,60.5,66.5,71.1,70.1,67.7,62.7,59.5,53.7,60.8
1996,55.9,M,M,59.0,62.6,66.7,70.2,69.4,65.3,62.9,55.0,51.3,61.8
1997,48.6,52.6,56.6,59.8,66.4,67.5,68.5,69.4,70.8,63.8,58.0,50.9,61.1
1998,51.0,51.1,54.8,57.1,58.3,65.4,69.4,71.9,68.9,61.2,53.0,45.7,59.0
1999,47.0,49.8,51.0,57.3,59.4,64.8,67.4,69.5,67.6,64.3,56.1,49.6,58.7
2000,50.5,52.7,55.7,60.2,64.1,68.3,66.9,69.0,69.6,61.4,50.1,49.1,59.8
2001,47.2,50.7,56.9,55.9,68.5,69.9,67.8,69.0,66.2,64.3,56.5,50.6,60.3
2002,47.2,52.4,53.5,58.4,62.0,68.2,69.3,68.5,69.0,62.2,56.3,50.4,59.8
2003,52.8,51.8,56.9,54.1,63.2,68.3,71.3,70.4,70.4,65.4,51.8,49.9,60.5
2004,48.7,51.6,61.8,61.2,64.0,67.5,68.9,70.4,70.7,61.1,53.7,49.3,60.7
2005,47.0,54.2,57.2,57.3,62.9,66.0,71.0,68.7,65.0,62.8,56.8,51.7,60.0
2006,50.5,52.3,49.9,57.1,64.1,69.5,73.0,67.8,67.2,61.6,54.9,48.6,59.7
2007,46.4,52.3,58.2,59.3,64.7,67.7,69.7,69.6,67.4,61.5,55.2,47.7,60.0
2008,47.2,50.6,54.3,57.7,64.3,68.8,69.7,70.6,68.9,64.6,57.0,45.8,60.0
2009,49.8,50.7,54.9,58.3,64.3,66.8,68.2,70.2,71.4,62.2,53.6,47.0,59.8
2010,49.2,52.9,54.4,55.6,59.8,67.7,66.5,66.5,69.7,63.1,54.1,50.8,59.2
2011,48.3,50.1,53.6,57.4,59.7,65.2,68.9,66.9,70.4,64.1,51.9,48.3,58.7
2012,49.4,52.3,53.1,59.3,63.9,67.8,68.7,68.6,66.1,64.6,56.5,49.2,60.0
2013,46.0,50.6,56.5,62.9,65.1,69.0,68.7,69.2,69.0,61.5,55.7,47.1,60.1
2014,52.5,54.2,59.1,61.1,66.1,69.1,70.8,69.5,69.5,66.8,56.9,53.7,62.4
2015,51.4,57.0,60.2,59.5,60.7,69.0,71.3,72.0,71.6,67.8,52.3,47.3,61.7
2016,52.0,56.4,55.7,61.5,64.9,70.3,68.7,66.7,68.4,62.6,56.0,47.2,60.9
2017,48.0,52.8,57.4,59.3,64.4,69.7,70.5,70.2,71.9,64.6,M,49.4,61.7
2018,50.8,52.0,53.9,60.2,62.5,68.4,69.9,68.1,66.7,64.6,56.3,50.6,60.3
2019,52.5,48.3,54.4,62.1,60.8,70.2,69.6,72.1,71.0,62.4,55.4,50.8,60.8
2020,49.9,55.7,54.2,60.0,65.6,70.1,68.6,73.4,73.3,68.9,53.6,49.4,61.9
