Year,Jan,Feb,Mar,April,May,June,July,Aug,Sept,Oct,Nov,Dec,Annual
1980,10.19,12.30,1.68,3.23,0.31,0.13,0.06,M,0.00,0.13,0.18,4.91,M
1981,M,M,M,M,M,M,M,M,M,M,M,M,M
1982,M,M,M,M,M,M,M,M,M,M,M,M,M
1983,M,M,M,M,M,M,M,M,M,M,M,M,M
1984,M,M,M,M,0.00,0.02,0.00,0.00,M,1.91,9.80,2.23,M
1985,1.20,2.41,4.39,0.30,0.00,0.00,0.00,0.00,0.00,M,1.13,2.34,M
1986,8.45,18.93,7.76,1.11,0.20,M,0.00,0.00,0.93,0.08,0.09,1.77,M
1987,3.84,6.43,4.11,0.37,0.06,0.00,0.00,0.00,0.00,M,1.50,9.72,M
1988,6.39,0.54,0.00,2.11,0.38,0.27,0.00,0.00,0.00,0.01,3.04,M,M
1989,1.69,1.50,9.24,0.54,0.05,0.40,0.00,M,1.49,2.26,2.20,0.00,M
1990,3.99,2.92,0.81,0.12,2.94,0.00,0.00,0.00,0.13,0.13,0.54,1.82,13.40
1991,M,4.67,12.85,0.94,0.09,0.31,0.00,0.29,0.00,1.89,1.22,3.26,M
1992,2.63,11.06,5.14,1.43,0.00,0.10,0.00,0.00,0.00,3.85,0.21,11.10,35.52
1993,18.53,8.74,2.07,0.83,1.20,0.65,0.00,0.00,0.00,0.75,4.17,4.17,41.11
1994,3.91,10.75,M,1.08,1.49,0.00,0.00,0.00,0.00,0.51,11.71,5.29,M
1995,24.11,0.98,13.36,3.16,1.54,0.79,0.00,0.00,0.00,0.25,0.08,15.40,59.67
1996,11.88,14.58,2.61,3.75,2.80,0.00,0.00,0.00,0.00,0.80,4.01,13.02,53.45
1997,11.07,0.19,0.76,0.25,0.36,0.25,0.00,1.07,0.14,0.98,10.86,4.25,30.18
1998,11.00,22.69,2.72,2.32,4.57,0.00,0.00,0.00,0.01,0.70,7.10,1.12,52.23
1999,3.70,9.70,4.14,2.63,0.12,0.20,0.00,0.00,0.08,0.00,M,0.45,M
2000,8.13,12.79,1.83,2.41,1.37,0.11,0.00,M,0.11,3.39,1.27,0.66,M
2001,5.37,7.40,1.47,0.18,0.00,0.12,0.00,0.00,0.13,0.64,8.76,14.11,38.18
2002,3.96,1.29,2.12,0.36,0.61,0.00,0.00,0.00,0.00,0.00,2.18,20.57,31.09
2003,4.15,3.18,2.82,4.47,1.70,0.00,0.01,0.00,0.00,0.00,M,M,M
2004,M,M,M,M,M,M,M,0.00,0.00,M,M,M,M
2005,M,M,7.22,2.07,3.35,0.53,0.00,0.00,0.00,0.33,2.05,M,M
2006,4.97,3.33,11.53,8.09,0.35,0.00,0.00,0.00,0.00,M,M,M,M
2007,0.30,7.64,0.20,1.61,0.41,0.00,0.00,0.00,0.03,2.35,0.76,3.56,16.86
2008,14.20,3.18,0.11,0.08,0.01,0.00,0.00,0.00,0.00,1.20,3.70,3.72,26.20
2009,0.56,11.84,M,0.57,1.22,0.01,0.00,0.00,0.31,6.72,0.48,3.82,M
2010,12.39,7.39,4.31,4.34,0.98,0.00,0.00,0.00,0.00,2.98,3.77,8.12,44.28
2011,1.87,6.63,10.92,0.19,0.32,0.74,M,M,M,M,M,M,M
2012,M,1.83,10.78,M,0.00,0.02,0.00,0.00,0.00,1.43,7.06,12.95,M
2013,M,M,0.95,0.83,0.02,0.43,0.00,0.00,M,0.00,1.25,0.50,M
2014,0.00,9.22,2.77,1.67,0.00,0.00,0.02,0.00,0.34,0.72,2.45,17.17,34.36
2015,0.00,3.74,0.27,M,0.00,0.17,0.04,0.00,0.16,0.02,0.87,4.95,M
2016,11.12,0.99,M,M,M,0.00,0.00,M,M,6.40,3.94,6.83,M
2017,21.26,14.70,4.40,5.16,0.00,0.11,0.00,0.00,0.02,0.15,3.85,0.02,49.67
2018,M,0.24,8.54,2.76,0.00,0.00,0.00,0.00,0.00,2.12,3.09,M,M
2019,M,M,M,M,M,M,M,M,M,M,M,M,M
2020,M,M,M,M,M,M,M,M,M,M,M,M,M
