Year,Jan,Feb,Mar,April,May,June,July,Aug,Sept,Oct,Nov,Dec,Annual
1980,9.93,9.98,4.92,1.96,1.23,0.06,0.89,0.02,0.01,0.52,0.72,2.82,33.06
1981,7.69,2.17,6.81,1.06,1.10,0.00,0.00,0.00,0.88,4.64,12.05,10.59,46.99
1982,7.77,5.04,10.97,7.63,0.00,M,0.02,0.00,2.91,6.42,9.76,8.20,M
1983,7.30,9.22,14.00,6.35,1.16,0.28,0.00,0.07,1.03,1.02,13.45,10.99,64.87
1984,0.65,5.27,2.80,2.40,0.44,0.52,T,0.22,0.04,3.18,9.02,2.35,26.89
1985,0.80,3.14,5.83,0.13,0.00,0.29,0.02,0.19,1.94,0.82,8.59,4.08,25.83
1986,5.31,17.61,7.96,1.27,0.55,0.00,0.00,0.00,3.98,0.30,0.93,1.42,39.33
1987,4.44,5.20,7.04,0.31,0.38,0.00,0.00,0.00,0.00,0.61,3.62,7.22,28.82
1988,4.77,0.26,1.14,4.37,1.19,0.64,0.00,0.00,0.00,0.03,7.13,5.22,24.75
1989,1.98,1.99,15.26,1.20,0.21,0.47,0.00,0.36,3.26,3.64,2.50,0.00,30.87
1990,6.37,5.04,2.07,2.08,5.17,0.00,0.00,0.00,0.03,0.42,1.22,1.75,24.15
1991,0.81,3.43,16.77,0.98,1.30,0.68,T,0.28,0.01,3.25,0.80,3.59,31.90
1992,3.12,10.51,3.47,1.84,0.00,0.94,0.00,T,0.00,M,0.73,10.89,M
1993,12.17,9.39,5.10,1.56,1.67,1.52,0.00,0.00,0.00,1.21,3.66,4.74,41.02
1994,2.48,5.91,0.93,1.75,1.11,0.04,0.00,0.00,0.37,0.85,7.54,8.00,28.98
1995,18.42,0.83,16.37,3.97,4.13,1.57,T,0.00,0.00,0.00,0.12,8.18,53.59
1996,7.16,9.17,3.14,4.33,4.38,0.15,0.00,0.00,0.20,1.85,5.10,16.78,52.26
1997,16.27,0.96,1.25,1.49,0.37,0.64,0.02,0.47,0.26,2.92,5.77,4.53,34.95
1998,12.35,14.97,3.57,5.20,5.58,0.27,0.02,0.00,0.57,0.97,7.52,3.93,54.95
1999,7.26,10.57,3.02,1.69,0.64,0.21,0.00,0.08,0.00,0.88,3.96,0.77,29.08
2000,11.18,15.16,2.77,2.01,2.19,0.59,0.00,0.00,0.72,4.21,0.79,0.82,40.44
2001,4.46,6.18,2.86,3.40,0.00,0.14,0.00,0.00,0.45,0.65,4.97,9.46,32.57
2002,5.75,3.65,6.39,0.71,2.42,0.00,0.00,0.00,0.00,0.00,2.85,11.75,33.52
2003,M,2.51,3.89,7.09,M,M,M,0.47,0.00,M,M,7.72,M
2004,M,7.24,M,0.76,M,M,0.00,M,M,M,M,M,M
2005,M,M,M,M,M,M,M,M,M,M,M,M,M
2006,M,M,M,M,M,M,M,M,M,M,M,M,M
2007,M,M,M,M,M,M,M,M,M,M,M,M,M
2008,M,M,M,0.32,0.06,0.00,0.00,0.00,0.00,0.88,M,M,M
2009,M,M,M,1.49,M,0.45,0.00,0.00,M,M,M,M,M
2010,M,M,3.29,M,2.26,0.06,0.00,0.00,0.00,M,M,M,M
2011,M,M,M,M,M,M,M,M,M,M,M,M,M
2012,M,M,M,M,M,M,M,M,M,M,M,M,M
2013,M,M,M,M,M,M,M,M,M,M,M,M,M
2014,M,M,M,M,M,M,M,M,M,M,M,M,M
2015,M,M,M,M,M,M,M,M,M,M,M,M,M
2016,M,1.40,M,M,M,M,M,M,0.00,M,M,M,M
2017,M,M,M,M,M,M,M,M,M,M,5.82,M,M
2018,M,M,M,M,M,M,M,M,M,M,M,M,M
2019,M,M,M,M,M,M,0.00,M,M,0.01,M,M,M
2020,M,M,M,M,M,M,M,M,M,M,2.23,M,M
