Year,Jan,Feb,Mar,April,May,June,July,Aug,Sept,Oct,Nov,Dec,Annual
1980,9.97,8.69,2.02,2.21,0.61,0.17,0.71,0.00,T,0.04,0.17,2.57,27.16
1981,7.05,2.62,8.51,0.26,0.35,0.00,0.00,0.00,0.17,1.26,7.05,4.36,31.63
1982,13.38,6.63,7.84,M,0.05,0.27,0.00,0.06,1.19,2.50,6.47,2.99,M
1983,9.16,9.74,15.16,5.08,0.60,0.00,0.00,0.23,2.00,1.07,8.58,8.14,59.76
1984,0.33,2.40,1.94,1.18,0.11,0.15,T,T,0.11,3.59,11.06,2.39,23.26
1985,1.71,3.28,6.60,0.42,0.20,0.14,0.13,0.02,0.14,0.92,5.68,3.91,23.15
1986,6.93,12.20,8.24,0.77,0.60,0.00,0.00,0.00,1.74,0.05,0.05,1.68,32.26
1987,3.47,5.28,4.48,0.84,T,0.00,0.00,0.00,0.00,0.94,3.05,7.16,25.22
1988,4.44,0.74,0.05,1.74,0.59,0.02,0.00,T,0.00,0.30,4.46,7.72,20.06
1989,1.36,1.52,7.00,0.72,0.10,0.02,0.00,0.07,0.87,2.19,1.12,0.05,15.02
1990,2.64,3.33,2.65,0.43,4.11,0.03,0.00,T,0.21,0.67,0.47,1.65,16.19
1991,0.81,4.92,10.60,0.80,0.06,0.26,0.02,0.04,0.06,2.26,1.51,4.25,25.59
1992,3.19,11.10,4.35,0.28,T,0.55,0.00,0.02,0.00,1.18,0.23,7.10,28.00
1993,13.85,8.02,3.44,1.37,0.94,0.56,T,T,0.00,0.61,2.73,4.00,35.52
1994,2.59,8.18,0.74,1.82,1.98,T,T,0.00,0.06,0.36,4.88,3.24,23.85
1995,17.56,0.47,8.49,5.13,1.34,1.54,T,0.00,0.00,0.00,0.19,6.54,41.26
1996,8.40,9.20,3.15,1.58,2.43,T,T,0.00,T,2.44,7.33,13.74,48.27
1997,10.12,0.29,1.26,0.70,0.07,0.19,T,0.45,0.01,0.47,9.59,3.67,26.82
1998,15.58,18.63,4.68,3.11,3.87,0.14,T,0.00,0.08,0.88,5.30,1.74,54.01
1999,7.44,10.66,4.08,2.97,0.04,0.34,0.00,0.02,0.18,0.29,3.41,0.77,30.20
2000,11.86,14.06,2.41,1.60,1.27,0.19,T,0.22,0.31,4.84,1.28,1.04,39.08
2001,5.92,7.00,3.29,1.76,0.00,0.10,0.00,0.02,0.20,0.70,6.28,11.07,36.34
2002,3.73,2.28,3.52,0.35,0.81,0.00,0.01,0.04,0.00,0.00,4.27,15.21,30.22
2003,1.85,1.86,1.47,3.50,0.90,0.07,T,0.01,0.00,0.31,3.38,9.93,23.28
2004,3.27,5.64,1.34,0.43,0.09,0.01,0.06,0.00,0.02,5.80,2.20,10.28,29.14
2005,5.98,6.26,7.65,3.03,1.34,1.05,0.01,0.02,0.01,0.12,1.86,12.62,39.95
2006,6.37,2.76,10.99,7.00,0.78,0.00,T,0.00,T,0.14,3.26,4.73,36.03
2007,0.80,5.86,0.33,1.53,0.55,0.00,T,0.01,0.38,1.40,0.54,3.83,15.23
2008,12.16,6.10,0.51,0.48,0.00,0.00,0.01,0.00,0.01,0.80,1.94,3.00,25.01
2009,1.84,10.30,2.07,0.42,1.67,T,0.00,0.02,0.36,4.08,0.19,4.06,25.01
2010,8.19,5.78,3.17,4.49,0.74,0.00,0.02,0.03,0.01,3.16,4.05,9.40,39.04
2011,2.17,M,M,M,M,M,M,M,M,M,M,M,M
2012,M,0.94,7.38,M,0.06,0.19,0.03,0.00,0.02,0.53,5.56,7.95,M
2013,0.90,0.31,1.45,0.93,0.02,0.16,0.03,0.00,0.19,0.07,0.72,0.29,5.07
2014,0.05,7.19,3.76,1.21,0.04,0.02,0.13,0.00,0.92,0.84,3.83,11.49,29.48
2015,0.00,2.85,0.51,1.98,0.10,0.01,0.03,0.03,0.03,0.08,4.42,6.43,16.47
2016,11.80,1.03,7.65,0.89,0.25,0.00,0.01,0.04,0.03,4.89,2.83,7.84,37.26
2017,15.72,12.96,M,2.16,M,M,M,M,0.06,M,M,M,M
2018,5.29,0.32,M,M,0.04,M,M,M,0.01,M,M,M,M
2019,M,11.00,7.22,M,4.33,M,M,T,M,M,M,M,M
2020,3.20,0.00,M,M,1.76,M,M,M,M,M,M,M,M
