Year,Jan,Feb,Mar,April,May,June,July,Aug,Sept,Oct,Nov,Dec,Annual
1980,M,M,M,M,M,M,M,M,M,M,M,M,M
1981,M,M,M,M,M,M,M,M,M,M,M,M,M
1982,M,M,M,M,M,M,M,M,M,M,M,M,M
1983,M,M,M,M,M,M,M,M,M,M,M,M,M
1984,M,M,M,M,M,M,M,M,M,M,M,M,M
1985,M,M,M,M,M,M,M,M,M,M,M,M,M
1986,M,M,M,M,M,M,M,M,M,M,M,M,M
1987,M,M,M,M,M,M,M,M,M,M,M,M,M
1988,M,M,M,M,M,M,M,M,M,M,M,M,M
1989,M,M,M,M,M,M,M,M,M,M,M,M,M
1990,M,M,M,M,M,M,M,M,M,M,M,M,M
1991,M,M,M,M,M,M,M,M,M,M,M,M,M
1992,M,M,M,M,M,M,M,M,M,M,M,M,M
1993,M,M,M,M,M,M,M,M,M,M,M,M,M
1994,M,M,M,M,M,M,M,M,M,M,M,M,M
1995,M,M,M,M,M,M,M,M,M,M,M,M,M
1996,M,M,M,M,M,M,M,M,M,M,M,M,M
1997,M,M,M,M,M,M,M,M,M,M,M,M,M
1998,M,M,M,M,M,M,0.01,T,0.10,1.21,6.36,1.35,M
1999,4.10,10.79,4.62,2.17,0.12,0.09,T,0.05,0.12,1.11,4.90,0.48,28.55
2000,6.69,11.60,2.69,2.26,M,0.25,T,T,0.50,2.35,1.55,1.05,M
2001,5.68,7.44,1.88,1.03,T,0.81,T,0.00,0.09,1.68,9.45,11.32,39.38
2002,5.84,1.67,2.68,0.74,0.61,T,T,T,0.00,0.05,3.44,14.87,29.90
2003,5.48,2.15,3.16,5.11,0.82,T,0.07,T,0.11,0.02,3.52,12.63,33.07
2004,4.50,10.30,1.40,1.02,0.01,T,T,T,0.05,3.51,2.68,10.98,34.45
2005,4.74,3.97,6.21,1.95,5.05,0.83,0.00,0.00,T,1.23,3.25,17.95,45.18
2006,5.66,4.29,11.13,5.83,0.44,0.01,T,T,T,0.61,3.75,6.51,38.23
2007,0.35,8.86,0.29,2.28,0.46,0.00,0.10,0.00,0.04,2.48,0.78,5.59,21.23
2008,12.25,2.85,0.23,0.00,0.02,T,0.00,0.00,0.01,0.72,2.91,3.22,22.21
2009,0.54,9.03,2.19,0.60,2.85,0.06,0.00,0.00,0.17,3.80,1.23,2.84,23.31
2010,12.57,6.54,3.79,4.06,2.21,0.08,T,T,0.12,6.04,2.68,9.96,48.05
2011,1.85,5.88,10.37,0.43,2.34,1.56,0.00,0.00,0.01,1.83,2.41,0.19,26.87
2012,6.97,1.88,7.65,2.11,0.13,0.02,T,0.00,0.00,2.38,8.26,11.72,41.12
2013,0.92,0.26,2.55,1.11,0.17,1.48,0.00,0.00,0.48,0.00,1.07,0.41,8.45
2014,0.10,9.34,2.38,0.73,0.02,0.00,T,T,0.83,0.50,1.70,14.48,30.08
2015,0.10,4.20,0.12,1.50,T,0.02,0.05,0.03,0.42,0.09,1.48,7.01,15.02
2016,10.87,0.74,10.11,1.35,0.30,0.19,T,T,T,7.57,4.10,6.75,41.98
2017,18.96,14.69,3.44,4.56,0.03,0.27,0.00,T,0.03,0.21,6.02,0.08,48.29
2018,6.95,0.72,6.71,4.31,0.13,0.00,0.00,T,0.11,1.23,4.84,3.58,28.58
2019,8.11,16.97,7.71,1.19,4.41,0.00,0.00,0.00,0.13,0.02,2.22,11.20,51.96
2020,2.38,0.00,1.05,1.19,1.20,T,T,0.09,0.00,T,1.44,3.02,10.37
