Year,Jan,Feb,Mar,April,May,June,July,Aug,Sept,Oct,Nov,Dec,Annual
1980,7.45,10.01,1.84,1.48,0.55,0.07,0.13,0.00,T,0.24,0.19,3.32,25.28
1981,5.92,1.58,4.03,0.32,0.44,0.00,0.00,0.00,0.17,2.64,7.44,7.66,30.20
1982,10.55,4.42,7.53,3.97,0.00,T,T,T,1.58,3.63,7.74,3.41,42.83
1983,7.70,10.62,11.07,3.94,0.49,0.00,0.00,0.73,0.86,0.77,7.98,7.08,51.24
1984,0.37,2.40,2.07,1.09,0.14,0.47,0.04,0.34,0.09,2.03,7.77,1.48,18.29
1985,1.75,2.79,4.42,0.08,0.03,0.05,T,0.00,0.79,0.78,3.88,2.97,17.54
1986,4.50,15.29,7.08,0.82,0.19,0.01,T,0.00,1.52,0.26,0.15,1.98,31.80
1987,4.11,4.63,4.28,0.16,T,0.00,0.00,0.00,0.00,1.52,2.20,7.65,24.55
1988,5.06,0.48,0.13,2.29,1.04,0.19,0.00,T,0.00,0.11,4.41,3.39,M
1989,1.37,1.37,6.79,0.90,0.08,0.09,0.00,T,2.31,1.48,1.68,0.00,16.07
1990,4.05,3.50,1.18,0.34,3.27,0.00,0.00,0.00,0.36,0.23,0.54,0.99,14.46
1991,0.46,3.05,10.64,0.33,0.15,0.40,T,0.16,0.01,2.47,0.84,2.18,20.69
1992,2.28,7.34,4.28,0.63,0.00,1.09,0.00,0.00,0.00,3.09,0.27,8.28,27.26
1993,8.90,5.87,2.08,1.54,1.39,0.71,0.00,0.00,0.00,1.15,3.49,3.50,28.63
1994,2.56,3.62,0.19,1.27,1.57,0.04,0.00,0.00,T,1.31,6.17,3.84,20.57
1995,13.66,0.54,11.97,1.26,3.10,0.90,T,0.00,0.00,0.00,0.18,8.90,40.51
1996,8.21,M,M,3.81,3.72,0.00,0.00,0.00,0.03,1.94,3.18,12.92,M
1997,10.50,0.46,0.86,0.57,0.79,0.23,0.00,0.82,0.03,1.26,7.95,2.56,26.03
1998,8.73,14.15,2.68,1.55,2.99,0.15,0.00,0.00,0.15,0.76,4.76,1.02,36.94
1999,3.15,9.83,2.70,2.88,0.13,T,0.00,0.00,0.04,0.75,2.84,0.91,23.23
2000,5.36,9.88,2.92,1.69,1.54,0.12,0.00,0.00,0.11,2.29,1.34,1.22,26.47
2001,4.34,7.26,1.08,0.46,0.00,0.26,0.00,0.00,0.50,0.51,6.17,9.45,30.03
2002,3.50,1.93,2.63,0.30,1.25,0.00,0.00,0.00,0.00,0.00,3.38,13.21,26.20
2003,2.68,3.99,4.98,3.97,1.85,0.00,T,0.62,0.03,0.25,3.14,7.70,29.21
2004,3.60,6.52,0.86,0.34,0.10,0.00,0.00,0.00,0.14,2.48,2.51,7.93,24.48
2005,M,3.88,3.42,1.57,2.37,0.90,0.00,0.00,0.01,0.67,2.25,15.49,M
2006,4.69,3.71,8.41,5.75,1.19,0.11,0.00,0.00,0.00,0.66,3.30,3.71,31.53
2007,0.36,5.12,0.35,1.29,0.35,0.00,T,0.00,0.05,2.01,1.05,4.10,14.68
2008,10.06,3.44,0.35,0.19,0.08,0.00,0.00,0.00,0.00,0.59,3.00,2.57,20.28
2009,0.97,9.20,1.01,0.95,1.47,0.05,0.00,0.00,0.15,5.06,0.83,2.14,21.83
2010,9.19,3.98,2.63,3.86,1.16,0.00,0.00,0.00,0.00,3.71,3.05,8.64,36.22
2011,M,M,M,M,M,M,0.00,0.00,0.00,M,M,0.18,M
2012,4.89,1.50,9.04,M,0.00,0.04,0.00,0.00,0.00,1.51,M,M,M
2013,0.74,0.35,0.93,1.19,0.34,0.68,0.00,0.00,0.67,0.00,1.13,M,M
2014,M,10.91,3.38,2.88,0.00,0.00,0.00,0.05,0.49,0.98,2.42,11.97,M
2015,0.02,2.72,0.10,M,0.02,0.17,0.01,0.00,0.19,0.02,1.82,M,M
2016,7.47,0.92,8.36,1.00,0.30,M,0.00,M,0.00,M,M,5.64,M
2017,13.28,11.42,4.22,M,0.00,0.83,0.00,0.00,0.08,M,M,0.03,M
2018,M,M,M,M,M,0.00,M,0.00,M,0.22,4.36,M,M
2019,7.22,M,5.40,M,2.99,0.00,M,0.00,M,0.00,0.96,5.21,M
2020,M,0.00,1.28,1.11,1.50,0.00,0.00,M,0.00,M,M,M,M
