Month,Avg. Temp,Min. Temp,Max. Temp,Precip.
"December, 2020",51.5,43.2,59.7,2.83
"November, 2020",53.5,44.2,62.8,1.54
"October, 2020",66.2,54.4,78,0.01
"September, 2020",66.8,56.7,77,0
"August, 2020",66.7,56.4,77.1,0.25
"July, 2020",62,52.3,71.6,0.01
"June, 2020",62.7,52.4,73,0
"May, 2020",59.3,49.9,68.7,1.24
"April, 2020",55.3,47.1,63.5,1.47
"March, 2020",51.2,43.6,58.9,2.16
"February, 2020",54.7,44.4,65,0
"January, 2020",50.3,44.2,56.3,3.56
"December, 2019",50.6,46.2,55,10.12
"November, 2019",55.5,45.7,65.3,1.53
"October, 2019",60.8,49.2,72.4,0.02
"September, 2019",64.2,54.9,73.6,0.1
"August, 2019",65.9,55.8,76,0
"July, 2019",62,52.1,71.9,0
"June, 2019",62.2,51.8,72.7,0.01
"May, 2019",54.9,48.3,61.4,3.56
"April, 2019",56.9,49,64.8,1.13
"March, 2019",51.5,44.5,58.5,7.21
"February, 2019",46.5,41.3,51.7,15.07
"January, 2019",51.8,45.7,57.8,7.95
"December, 2018",50.7,44.9,56.5,3.34
"November, 2018",56.5,47.8,65.2,5.19
"October, 2018",61,50.9,71.2,1.29
"September, 2018",60.8,50.2,71.4,0.02
"August, 2018",61.9,52.4,71.5,0.02
"July, 2018",62.8,52.4,73.2,0
"June, 2018",60.9,50.1,71.6,0
"May, 2018",56.6,48.6,64.6,0.13
"April, 2018",54.2,45.6,62.8,5.04
"March, 2018",51,42.8,59.3,8.32
"February, 2018",52.4,42.3,62.4,0.37
"January, 2018",51.4,45.2,57.6,6.77
"December, 2017",51.2,42,60.3,0.09
"November, 2017",54.6,48.1,61,5.1
"October, 2017",62,50.5,73.4,0.24
"September, 2017",67,57.1,76.8,0.1
"August, 2017",64.2,54.9,73.5,0
"July, 2017",63.3,51.4,75.2,0
"June, 2017",61.8,51.7,71.8,0.3
"May, 2017",58.2,48.5,67.9,0.07
"April, 2017",54.4,46.5,62.3,4.65
"March, 2017",54.4,45.9,62.8,4.45
"February, 2017",51.1,45.8,56.4,13.84
"January, 2017",47.8,41.5,54,17.01
"December, 2016",48.2,41,55.4,7.07
"November, 2016",55.4,48.2,62.5,4.04
"October, 2016",59,51.9,66.1,6.33
"September, 2016",62.7,52,73.3,0
"August, 2016",61.2,52,70.3,0.01
"July, 2016",61.5,50.7,72.3,0
"June, 2016",61.7,50.8,72.5,0.03
"May, 2016",58.2,49.7,66.8,0.22
"April, 2016",57.2,48.9,65.5,1.51
"March, 2016",53.8,47.3,60.4,9.7
"February, 2016",56.2,47,65.3,1.17
"January, 2016",50.6,46.4,54.9,10.73
"December, 2015",49.2,43.1,55.3,7.55
"November, 2015",52.8,44,61.5,1.84
"October, 2015",64.3,54.2,74.4,0.06
"September, 2015",65.5,54.2,76.8,0.27
"August, 2015",65.7,56.8,74.6,0.03
"July, 2015",63.9,55.7,72.1,0.07
"June, 2015",61.7,51,72.3,0.27
"May, 2015",55,48,62.1,0.12
"April, 2015",55,45.4,64.6,1.88
"March, 2015",57.3,47.1,67.5,0.26
"February, 2015",56.5,48,65,3.53
"January, 2015",53,44.2,61.8,0.05
"December, 2014",54.1,50,58.2,17.2
"November, 2014",56.6,49.2,64.1,3.81
"October, 2014",63.6,53,74.1,0.9
"September, 2014",63.8,55,72.6,0.52
"August, 2014",63.4,55,71.8,0.09
"July, 2014",64,54.5,73.4,0.05
"June, 2014",61,50.1,71.9,0.01
"May, 2014",59.8,49.7,70,0.09
"April, 2014",56.4,47.1,65.7,2.05
"March, 2014",55.7,47.2,64.3,4.09
"February, 2014",52.1,45.5,58.8,11.33
"January, 2014",54.6,43.7,65.5,0.1
"December, 2013",47.6,36,59.2,0.58
"November, 2013",55.1,45.3,64.9,1.74
"October, 2013",58.3,46.3,70.2,0
"September, 2013",62.6,53.9,71.4,0.66
"August, 2013",62.4,53.6,71.3,0.05
"July, 2013",61.9,52.2,71.6,0.01
"June, 2013",61,51.5,70.4,0.95
"May, 2013",58.5,48.5,68.4,0.16
"April, 2013",57.3,47.3,67.2,1.52
"March, 2013",53.5,43.5,63.5,1.3
"February, 2013",49.9,39.2,60.4,0.53
"January, 2013",47.4,38.1,56.8,0.9
"December, 2012",49,42.8,55.1,12.01
"November, 2012",55.2,48.1,62.3,8.52
"October, 2012",60.7,51.4,69.9,1.89
"September, 2012",59.5,48.5,70.4,0
"August, 2012",61.7,50.9,72.5,0
"July, 2012",60.7,50.1,71.2,0.03
"June, 2012",59.2,49.1,69.4,0.07
"May, 2012",56.6,46.5,66.7,0.13
"April, 2012",53.9,45.7,62.1,2.65
"March, 2012",49.8,42.6,57,10.84
"February, 2012",50.8,42.1,59.4,1.77
"January, 2012",50.4,41.3,59.4,6.35
"December, 2011",48.8,39,58.6,0.15
"November, 2011",51.2,43.8,58.6,2.34
"October, 2011",59.9,51,68.8,2.25
"September, 2011",63.6,52.5,74.6,0.01
"August, 2011",60.6,51.6,69.5,0.02
"July, 2011",60.4,51.8,68.9,0.01
"June, 2011",57.4,49.2,65.6,1.24
"May, 2011",53.1,45,61.2,1.73
"April, 2011",52.4,44.7,60.1,0.83
"March, 2011",50.6,44.3,56.8,11.83
"February, 2011",48.5,39.8,57.2,5.9
"January, 2011",49.3,41.8,56.7,2.18
"December, 2010",50.4,46.1,54.8,10.63
"November, 2010",53,44.9,61,4.1
"October, 2010",59,50.8,67.1,4
"September, 2010",63.6,52.2,74.9,0.08
"August, 2010",60.3,50.8,69.7,0.02
"July, 2010",59.4,50.5,68.2,0.01
"June, 2010",59.9,50.4,69.4,0.05
"May, 2010",53.5,45.3,61.7,1.65
"April, 2010",51.1,43.2,59,5.45
"March, 2010",51.6,42.7,60.4,4.24
"February, 2010",51.5,45.5,57.5,5.86
"January, 2010",49.1,44.6,53.6,11.66
"December, 2009",47.2,41,53.5,3.95
"November, 2009",53.6,44.5,62.7,0.9
"October, 2009",58.3,49.8,66.8,5.91
"September, 2009",64.9,52.7,77.1,0.29
"August, 2009",63.3,52.4,74.2,0
"July, 2009",60.7,50.4,71.1,0.01
"June, 2009",59.5,50.4,68.5,0.04
"May, 2009",57.3,48.1,66.5,2.02
"April, 2009",53.3,43.8,62.9,0.79
"March, 2009",51.2,43.1,59.4,3.07
"February, 2009",49.3,42.9,55.7,10.68
"January, 2009",50.9,41.7,60.1,1.02
"December, 2008",46.6,39.8,53.4,3.73
"November, 2008",55.8,48.7,62.9,3.77
"October, 2008",61,49.8,72.1,1.02
"September, 2008",63.3,52.1,74.5,0.02
"August, 2008",63.9,53,74.8,0.04
"July, 2008",62,52,72,0
"June, 2008",60.7,48.9,72.5,0
"May, 2008",56.7,47,66.4,0.06
"April, 2008",52.7,42.3,63,0.21
"March, 2008",51.2,41.8,60.6,0.39
"February, 2008",49.9,41.7,58.1,4.14
"January, 2008",46.8,41.4,52.1,13.66
"December, 2007",47.5,40.8,54.1,5.53
"November, 2007",54.9,45.4,64.3,1.04
"October, 2007",57.1,48.4,65.7,3.05
"September, 2007",61.1,52.1,70.1,0.1
"August, 2007",63.1,53.2,73,0.01
"July, 2007",62.2,52.8,71.6,0.04
"June, 2007",59.7,49.2,70.2,0
"May, 2007",56.7,47.2,66.2,0.55
"April, 2007",53.6,44.5,62.8,2.14
"March, 2007",54.4,44.1,64.7,0.37
"February, 2007",50,43.5,56.5,8.01
"January, 2007",47.5,38.3,56.7,0.83
"December, 2006",49.1,41.9,56.3,6.54
"November, 2006",53.6,46.7,60.4,4.21
"October, 2006",58.2,48.6,67.8,0.65
"September, 2006",61.1,50.4,71.8,0
"August, 2006",61.2,51.3,71.1,0
"July, 2006",65.6,53.7,77.4,0.01
"June, 2006",62.2,52.2,72.2,0.01
"May, 2006",57.2,47.7,66.7,0.52
"April, 2006",52.6,46.3,59,7.43
"March, 2006",47.2,41.3,53.1,11.29
"February, 2006",51.3,42.3,60.4,4.38
"January, 2006",50.2,43.7,56.7,5.97
"December, 2005",51.4,45.8,56.9,18.87
"November, 2005",55.6,47.1,64,2.68
"October, 2005",58.7,48.9,68.5,0.8
"September, 2005",59.6,50,69.2,0.02
"August, 2005",61.9,51.2,72.6,0.01
"July, 2005",63.2,52.8,73.7,0
"June, 2005",58,49.9,66,0.87
"May, 2005",57,49.6,64.3,3.51
"April, 2005",52.7,44.3,61.1,2.49
"March, 2005",54.4,46.5,62.3,6.8
"February, 2005",52.3,46.4,58.3,5.77
"January, 2005",47.1,41.5,52.7,5.98
"December, 2004",50.3,44,56.6,12.15
"November, 2004",52.6,45.5,59.8,2.77
"October, 2004",57.8,49.4,66.1,4.24
"September, 2004",64.6,53.2,76,0.23
"August, 2004",63.9,54.4,73.3,0.02
"July, 2004",61.5,52.5,70.4,0.01
"June, 2004",59.7,50,69.4,0
"May, 2004",57.3,48.3,66.3,0.09
"April, 2004",56.1,46.4,65.7,0.7
"March, 2004",58,47.4,68.6,1.28
"February, 2004",49.8,43.3,56.2,9.22
"January, 2004",48.5,43.2,53.8,4.62
"December, 2003",49.5,44.3,54.7,12.53
"November, 2003",51,44.4,57.7,2.81
"October, 2003",62.1,50.5,73.6,0.06
"September, 2003",64.8,54.3,75.2,0.03
"August, 2003",63.5,54.2,72.8,0.14
"July, 2003",63.4,51.9,75,0.02
"June, 2003",60.4,50.9,69.9,0
"May, 2003",56.4,47.1,65.6,1.41
"April, 2003",50,43.3,56.7,5
"March, 2003",53.6,45.4,61.7,2.43
"February, 2003",50.8,42.5,59,2.63
"January, 2003",52.6,47.3,58,4.2
"December, 2002",50.7,45.1,56.2,20.07
"November, 2002",55.6,47,64.2,3.69
"October, 2002",58.9,48.7,69,0.03
"September, 2002",63,51.4,74.7,0
"August, 2002",62,52,72,0.01
"July, 2002",61.9,51.8,71.9,0
"June, 2002",60,49.7,70.3,0.01
"May, 2002",55.2,45.8,64.7,1
"April, 2002",53.5,45.8,61.1,0.55
"March, 2002",50.8,42.4,59.2,3.35
"February, 2002",51.3,42.7,59.9,2.56
"January, 2002",47.3,40.4,54.2,4.09
"December, 2001",50.1,45.6,54.6,14.29
"November, 2001",54.8,47.9,61.8,8.73
"October, 2001",61,51.1,71,0.94
"September, 2001",60.9,51.2,70.6,0.16
"August, 2001",62.3,52.1,72.5,0.01
"July, 2001",60.8,51.4,70.1,0
"June, 2001",61.7,50.7,72.8,0.32
"May, 2001",61.7,49.9,73.5,0
"April, 2001",50.8,42.4,59.3,1.39
"March, 2001",54,45.4,62.6,2.03
"February, 2001",48.9,42,55.8,8.18
"January, 2001",47.7,39.8,55.6,5.82
"December, 2000",50.5,43,58,1.26
"November, 2000",50.4,42.8,58,1.49
"October, 2000",57.3,49.4,65.2,3.3
"September, 2000",63.6,53.6,73.6,0.24
"August, 2000",62,52.1,72,0.02
"July, 2000",59.4,50.4,68.4,0
"June, 2000",60.3,51,69.7,0.22
"May, 2000",57.2,48.9,65.4,1.7
"April, 2000",55.1,46.8,63.4,2.4
"March, 2000",52.1,44.2,60,2.9
"February, 2000",51,46.4,55.6,13.28
"January, 2000",50,44.6,55.3,8.33
"December, 1999",50.6,41.3,59.9,0.85
"November, 1999",54.9,48.3,61.5,3.95
"October, 1999",61.4,49.9,72.9,0.84
"September, 1999",62.3,52.5,72.1,0.11
"August, 1999",61.9,53.2,70.7,0.08
"July, 1999",59.6,50.8,68.4,0
"June, 1999",58,48.4,67.6,0.14
"May, 1999",53.1,45.2,61,0.13
"April, 1999",52.3,44.4,60.3,2.9
"March, 1999",47.9,41.4,54.3,4.46
"February, 1999",48.1,41.6,54.6,11.47
"January, 1999",47.7,40.7,54.6,5
"December, 1998",46.8,39,54.6,1.94
"November, 1998",51.9,45.9,57.8,7.35
"October, 1998",58,48.8,67.3,1.11
"September, 1998",62.6,53.9,71.2,0.09
"August, 1998",64.7,53.1,76.3,0.02
"July, 1998",61.7,52.1,71.3,0.01
"June, 1998",57.6,51.2,64,0.04
"May, 1998",53.1,47.8,58.4,4.35
"April, 1998",52.4,44.5,60.3,2.97
"March, 1998",51.9,44.7,59.1,3.5
"February, 1998",49.6,44.9,54.3,21.93
"January, 1998",50.6,46.6,54.6,14.53
"December, 1997",49.5,42.8,56.2,4.19
"November, 1997",55.4,49.4,61.4,10.7
"October, 1997",58.9,50.1,67.7,1.65
"September, 1997",65.3,55.2,75.5,0.25
"August, 1997",63.9,55.2,72.5,0.83
"July, 1997",61.9,52.4,71.4,0.01
"June, 1997",60.1,51.2,69,0.38
"May, 1997",61.2,51.2,71.2,0.44
"April, 1997",55.2,46.5,64,0.77
"March, 1997",54.1,44.4,63.9,1.09
"February, 1997",51.9,43.7,60.1,0.5
"January, 1997",49.4,44.3,54.5,11.97
"December, 1996",52,46.7,57.2,14.69
"November, 1996",54.6,47.7,61.5,4.64
"October, 1996",59,49.5,68.6,1.33
"September, 1996",60.9,51.1,70.8,0.08
