,Year,County,HarvestedAcres,Yield(Ton Per Acre),Production(Tons),Price(Dollars Per Ton),Value(Dollars),Min. Temp(F),Max. Temp(F),Precip.(in),Temp Range(F)
0,2020,Marin,195.0,1.33,260.0,3607.69,938000,43.2,78.0,13.07,34.8
1,2020,Napa,45200.0,2.2,99300.0,4646.48,461395000,38.1,92.7,10.32,54.6
2,2020,Placer,315.0,2.79,879.0,2235.49,1965000,31.9,88.6,24.95,56.7
3,2020,SantaCruz,670.0,2.39,1600.0,3008.75,4814000,38.7,82.5,14.51,43.8
4,2020,Sonoma,56800.0,2.61,148000.0,2375.08,351512000,38.7,82.5,14.51,43.8
5,2019,Marin,195.0,2.08,406.0,3371.92,1369000,41.3,76.0,46.7,34.7
6,2019,Napa,44200.0,3.62,160000.0,5862.26,937962000,37.3,90.4,43.5,53.10000000000001
7,2019,Placer,307.0,3.75,1150.0,1386.09,1594000,27.4,86.6,61.82,59.2
8,2019,SantaCruz,679.0,2.55,1730.0,3384.97,5856000,39.6,82.9,46.24,43.3
9,2019,Sonoma,57500.0,4.0,230000.0,2843.57,654021000,39.6,82.9,46.24,43.3
10,2018,Marin,195.0,1.96,382.0,3201.57,1223000,42.3,73.2,30.49,30.90000000000001
11,2018,Napa,43400.0,4.26,185000.0,5614.05,1038600000,38.2,91.5,24.56,53.3
12,2018,Placer,293.0,3.65,1070.0,1355.14,1450000,29.5,90.1,42.42,60.6
13,2018,SantaCruz,630.0,2.27,1430.0,2934.97,4197000,37.9,81.2,27.33,43.3
14,2018,Sonoma,59900.0,4.61,276000.0,2817.66,777675000,37.9,81.2,27.33,43.3
15,2017,Marin,195.0,1.49,291.0,3072.16,894000,41.5,76.8,45.85,35.3
16,2017,Napa,43600.0,3.26,142000.0,5287.55,750832000,37.0,92.2,43.3,55.2
17,2017,Placer,270.0,3.01,814.0,1371.01,1116000,30.0,89.6,75.84,59.6
18,2017,SantaCruz,638.0,2.35,1500.0,3226.67,4840000,37.7,83.1,47.63,45.39999999999999
19,2017,Sonoma,60000.0,3.43,206000.0,2807.34,578313000,37.7,83.1,47.63,45.39999999999999
20,2016,Marin,182.0,1.37,250.0,3468.0,867000,41.0,73.3,40.81,32.3
21,2016,Napa,43400.0,3.53,153000.0,4768.02,729507000,36.1,89.2,36.01,53.1
22,2016,Placer,265.0,3.11,823.0,1245.44,1025000,30.1,87.1,57.28,56.99999999999999
