Month,Avg. Temp,Min. Temp,Max. Temp,Precip.
"December, 2020",49.2,38.1,60.4,2.16
"November, 2020",52.8,40.3,65.4,1.29
"October, 2020",69.4,53.6,85.2,0
"September, 2020",73.8,58.2,89.4,0
"August, 2020",76.6,60.5,92.7,0.1
"July, 2020",73.4,56.6,90.1,0
"June, 2020",71.2,55.6,86.8,0
"May, 2020",64.6,50.4,78.7,1.39
"April, 2020",58.7,46.2,71.2,1.16
"March, 2020",51.2,40.7,61.7,1.5
"February, 2020",53.9,40.9,67,0.01
"January, 2020",48.2,39.2,57.3,2.71
"December, 2019",48.5,41.5,55.5,8.67
"November, 2019",55,41.6,68.4,1.03
"October, 2019",62.1,46.6,77.6,0
"September, 2019",69.5,54.6,84.4,0.07
"August, 2019",74.7,59,90.4,0
"July, 2019",72.7,57,88.5,0.01
"June, 2019",71.3,56.3,86.2,0
"May, 2019",60,48.4,71.6,3.48
"April, 2019",60.1,48.6,71.5,0.96
"March, 2019",51.4,41.7,61,6.18
"February, 2019",44.8,37.3,52.2,14.41
"January, 2019",49.8,41.6,58.1,8.69
"December, 2018",48.3,39.6,57.1,3.12
"November, 2018",55.7,43.7,67.8,4.43
"October, 2018",64.5,51,77.9,0.78
"September, 2018",69,52.7,85.3,0.04
"August, 2018",71.9,56,87.8,0
"July, 2018",75.2,58.8,91.5,0.01
"June, 2018",70,53.7,86.3,0
"May, 2018",62.8,49.5,76.1,0.15
"April, 2018",56.4,44,68.8,3.1
"March, 2018",50.7,39.6,61.8,7.12
"February, 2018",51.2,38.2,64.2,0.31
"January, 2018",49.6,41,58.1,5.5
"December, 2017",49.1,37,61.2,0.11
"November, 2017",53.2,43.9,62.4,4.4
"October, 2017",64.3,48.8,79.8,0.21
"September, 2017",72.1,57.7,86.5,0.04
"August, 2017",74.9,59.4,90.3,0
"July, 2017",74.9,57.6,92.2,0
"June, 2017",70.9,55.9,85.9,0.38
"May, 2017",64.1,49.9,78.3,0.03
"April, 2017",56.2,45.2,67.3,3.68
"March, 2017",54.8,43.5,66.1,3.64
"February, 2017",49.9,42.7,57,13
"January, 2017",45.6,37.7,53.4,17.81
"December, 2016",45.8,36.1,55.4,5.84
"November, 2016",54.1,44.4,63.8,2.74
"October, 2016",60.4,49.9,71,5.39
"September, 2016",69.8,53.9,85.6,0
"August, 2016",71.4,55.4,87.4,0
"July, 2016",72.5,55.9,89.2,0
"June, 2016",71.1,55.3,86.9,0.01
"May, 2016",63.6,51,76.2,0.36
"April, 2016",59.4,47,71.8,1.31
"March, 2016",53.9,44,63.7,9.62
"February, 2016",54.6,42.8,66.3,1.15
"January, 2016",48.2,42,54.5,9.59
"December, 2015",46,37.5,54.4,5.17
"November, 2015",51.1,39.3,62.9,1.68
"October, 2015",67.2,53,81.4,0.21
"September, 2015",71.9,55.9,87.9,0.28
"August, 2015",73.5,57.6,89.4,0.01
"July, 2015",73.4,58.8,88.1,0.06
"June, 2015",71.4,55.4,87.3,0.11
"May, 2015",60.9,48.1,73.6,0.15
"April, 2015",58.3,44.7,71.8,1.63
"March, 2015",58.6,45.2,71.9,0.19
"February, 2015",55.2,44.2,66.2,4.33
"January, 2015",51.2,40.4,62,0.06
"December, 2014",51,44.6,57.4,14.09
"November, 2014",55.2,44.4,65.9,2.57
"October, 2014",65.8,51.6,80.1,0.84
"September, 2014",70.6,55.8,85.4,0.5
"August, 2014",72.3,57.2,87.4,0.05
"July, 2014",74,58.7,89.4,0
"June, 2014",70.4,54.3,86.5,0
"May, 2014",65.4,50.3,80.6,0.01
"April, 2014",59.2,46,72.4,2
"March, 2014",56,44.6,67.4,3.44
"February, 2014",51.4,42.1,60.7,9.65
"January, 2014",53.1,39,67.1,0.13
"December, 2013",47.1,33.6,60.5,0.51
"November, 2013",54.9,42.6,67.2,0.91
"October, 2013",61.2,45.9,76.5,0
"September, 2013",69,54.5,83.5,0.6
"August, 2013",71.4,55.7,87,0.01
"July, 2013",73.1,56.8,89.4,0
"June, 2013",70,54.9,85,0.65
"May, 2013",64.7,50.3,79.1,0.19
"April, 2013",60.9,47.4,74.5,1.05
"March, 2013",54.1,41.3,66.9,1.33
"February, 2013",49.3,36.4,62.2,0.49
"January, 2013",45.4,33.8,57,0.98
"December, 2012",46.5,38.2,54.8,10.94
"November, 2012",54.2,44,64.4,8.02
"October, 2012",63.4,50.3,76.4,1.44
"September, 2012",69.1,51.8,86.4,0
"August, 2012",73,55.7,90.3,0
"July, 2012",71.1,54.5,87.8,0
"June, 2012",68.1,52.7,83.6,0.05
"May, 2012",63.5,48.5,78.4,0.1
"April, 2012",56.3,44.4,68.2,2.84
"March, 2012",50,40.2,59.9,8.84
"February, 2012",50.1,38.6,61.6,1.78
"January, 2012",48.1,35.9,60.2,5.42
"December, 2011",47.2,35,59.4,0.29
"November, 2011",49.9,39.4,60.4,2.3
"October, 2011",62.9,50.6,75.2,1.58
"September, 2011",72,55.8,88.3,0.01
"August, 2011",70.6,55.2,85.9,0
"July, 2011",71.2,56.6,85.8,0
"June, 2011",65.7,53.1,78.4,1.09
"May, 2011",58.3,45.3,71.3,1.96
"April, 2011",55.2,43.2,67.1,0.43
"March, 2011",50.2,41.4,59,11.4
"February, 2011",47.3,36.6,58.1,6.3
"January, 2011",47.4,37.8,57.1,2.17
