Month,Avg. Temp,Min. Temp,Max. Temp,Precip.
"December, 2020",42,31.9,52.1,3.84
"November, 2020",46.2,34.7,57.7,4.11
"October, 2020",63.1,48.4,77.8,0.02
"September, 2020",69.9,55.5,84.2,0.01
"August, 2020",74,59.5,88.6,0.07
"July, 2020",72.1,56.8,87.4,0.06
"June, 2020",65.2,50.8,79.6,0.27
"May, 2020",58.3,45.6,71,2.5
"April, 2020",51.2,39.6,62.7,3.52
"March, 2020",42.5,33.2,51.8,6.63
"February, 2020",45.6,33.4,57.8,0.13
"January, 2020",41,32.4,49.5,3.79
"December, 2019",40.8,33.6,48.1,9.61
"November, 2019",49.6,38,61.2,2.09
"October, 2019",54.1,39.9,68.3,0.13
"September, 2019",62.7,49.2,76.1,1.72
"August, 2019",71.7,56.8,86.6,0.01
"July, 2019",70.4,55.8,84.9,0.03
"June, 2019",66.3,52.2,80.4,0.23
"May, 2019",53.6,41.9,65.2,5.48
"April, 2019",52.4,41,63.8,2.71
"March, 2019",42.6,33.4,51.7,7.68
"February, 2019",34.8,27.4,42.2,20.49
"January, 2019",42.3,33.6,51,11.64
"December, 2018",40.4,31.8,49.1,4.1
"November, 2018",48.9,37.8,60.1,6.3
"October, 2018",56.9,44,69.7,0.9
"September, 2018",66,51,81,0.02
"August, 2018",71.1,55.6,86.6,0.01
"July, 2018",75.1,60.1,90.1,0.09
"June, 2018",66.4,51.2,81.7,0.06
"May, 2018",57.9,45.4,70.4,2.13
"April, 2018",50.2,38,62.4,5.05
"March, 2018",42.3,32.4,52.2,15.13
"February, 2018",41.2,29.5,53,1.36
"January, 2018",44,35.5,52.6,7.27
"December, 2017",44.4,33.2,55.5,0.81
"November, 2017",47.2,39.2,55.3,11.12
"October, 2017",56.9,42.4,71.5,0.85
"September, 2017",64.7,51.6,77.9,0.91
"August, 2017",73.6,58.7,88.5,0.27
"July, 2017",73.7,57.8,89.6,0.01
"June, 2017",66.7,52.3,81,0.56
"May, 2017",58.6,45.2,72,1.08
"April, 2017",48.2,37.6,58.8,7.91
"March, 2017",47.1,36.7,57.5,6.08
"February, 2017",41.2,34,48.4,21.21
"January, 2017",37.4,30,44.7,25.03
"December, 2016",39.2,30.1,48.2,9.75
"November, 2016",47.4,37.5,57.2,4.25
"October, 2016",53.8,43.6,64.1,10.95
"September, 2016",65.3,50.6,79.9,0.06
"August, 2016",71.5,55.9,87.1,0.04
"July, 2016",71.2,55.6,86.8,0
"June, 2016",67.3,52.3,82.3,0.08
"May, 2016",57.3,45,69.6,2.18
"April, 2016",52.6,40.6,64.5,3.4
"March, 2016",46.4,36.8,56,12.08
"February, 2016",47.4,35.8,59,2.12
"January, 2016",40,32.4,47.6,12.37
"December, 2015",37.4,29.3,45.4,10.15
"November, 2015",42.2,32,52.4,4.98
"October, 2015",60.6,48.2,73,1.83
"September, 2015",67.2,53,81.3,0.15
"August, 2015",70.7,55.7,85.8,0.06
"July, 2015",70.6,56.7,84.5,0.3
"June, 2015",69.6,54.8,84.3,0.77
"May, 2015",56.3,44.3,68.4,1.93
"April, 2015",51,38.1,63.9,3.23
"March, 2015",51.8,39.5,64.2,0.75
"February, 2015",48.9,38.3,59.6,6.73
"January, 2015",46,35.6,56.3,0.12
"December, 2014",42.2,35.3,49.1,10.63
"November, 2014",48.5,38.4,58.7,4.13
"October, 2014",59.1,45.7,72.6,1.35
"September, 2014",66.6,52.7,80.4,1.33
"August, 2014",69.9,56.1,83.8,0.47
"July, 2014",74,59.3,88.7,0.23
"June, 2014",66.6,51.4,81.8,0.01
"May, 2014",59.1,45.7,72.6,1.21
"April, 2014",52,39.2,64.8,2.53
"March, 2014",47.8,37.3,58.3,6.33
"February, 2014",44.5,35.4,53.5,11.55
"January, 2014",46.7,34.9,58.6,2.26
"December, 2013",41,29.4,52.6,1.12
"November, 2013",48.7,37.7,59.6,1.58
"October, 2013",54.6,41,68.1,0.8
"September, 2013",63.4,50.3,76.5,1.5
"August, 2013",69.1,54.2,83.9,0.06
"July, 2013",73.2,58.1,88.4,0.05
"June, 2013",66.4,52.1,80.8,1.45
"May, 2013",58.1,44.9,71.3,1.75
"April, 2013",52.9,39.6,66.1,1.33
"March, 2013",48.2,36.5,59.8,3.14
"February, 2013",41.2,29.4,53,0.59
"January, 2013",38.8,27.6,49.9,1.23
"December, 2012",37.3,29.8,44.7,13.49
"November, 2012",47.7,38.4,57,9.74
"October, 2012",57.1,44.6,69.7,2.48
"September, 2012",69,53.7,84.2,0.11
"August, 2012",73.3,57.5,89.1,0.2
"July, 2012",69.9,54.8,85,0.2
"June, 2012",63.3,48.8,77.7,0.78
"May, 2012",58,44.2,71.9,0.47
"April, 2012",49.9,38.2,61.6,5.72
"March, 2012",42.8,33.6,51.9,12.07
"February, 2012",41.8,31.2,52.5,2.85
"January, 2012",42.9,32,53.8,6.86
"December, 2011",41.2,30.3,52,0.15
"November, 2011",44.6,34.2,54.9,2.19
"October, 2011",56.3,44.3,68.2,3.48
"September, 2011",68.4,53.4,83.4,0.4
"August, 2011",69.3,53.9,84.7,0.03
"July, 2011",67.9,53.4,82.3,0.09
"June, 2011",60,47.2,72.8,2.71
"May, 2011",50.7,38.6,62.7,3.52
"April, 2011",46.4,35.3,57.6,2.89
"March, 2011",41.6,33.2,50,16.05
"February, 2011",38.5,28.1,48.9,6.59
"January, 2011",41.6,31.7,51.6,2.04
"December, 2010",40.7,33.6,47.8,15.49
"November, 2010",44,33.8,54.2,7.32
"October, 2010",56,44.9,67.1,8.07
"September, 2010",65.6,50.4,80.7,0.03
"August, 2010",67.6,52.3,83,0.1
"July, 2010",71,55.5,86.4,0.02
"June, 2010",63.3,49.8,76.8,0.29
"May, 2010",49.9,37.9,62,3.36
"April, 2010",44.6,33.8,55.4,7.23
"March, 2010",43.6,32.6,54.5,5.38
"February, 2010",42.7,34.2,51.2,5.79
"January, 2010",41,33.6,48.3,8.66
"December, 2009",37.4,28.4,46.4,6.83
"November, 2009",46.7,35.7,57.8,1.75
"October, 2009",53.3,41,65.6,4.22
"September, 2009",68.6,53.5,83.6,0.07
"August, 2009",69.8,54.7,85,0.12
"July, 2009",72.2,56.6,87.8,0.05
"June, 2009",62.6,49.5,75.8,0.81
"May, 2009",60.9,47.7,74,4.51
"April, 2009",48.8,36.2,61.4,1.65
"March, 2009",43.1,32.3,54,7.02
"February, 2009",40.7,32.1,49.4,8.41
"January, 2009",42.9,32,53.8,3.6
"December, 2008",38,28.8,47.2,6.03
"November, 2008",49.4,39.4,59.4,4.52
"October, 2008",57,43.4,70.5,1.7
"September, 2008",67.1,51.5,82.7,0.01
"August, 2008",72.1,56.6,87.6,0
"July, 2008",71.8,56.1,87.5,0.02
"June, 2008",65.6,50.2,81,0
"May, 2008",57.3,44.4,70.3,1.07
"April, 2008",48.2,34.9,61.4,0.42
"March, 2008",44.9,33.2,56.5,1.47
"February, 2008",41.1,30.6,51.6,5.94
"January, 2008",36.5,29,44,12.52
"December, 2007",37,28.4,45.6,6.44
"November, 2007",49.2,37.6,60.8,1.38
"October, 2007",53,41.4,64.5,3.14
"September, 2007",61.8,48,75.6,1.02
"August, 2007",71.2,55.9,86.5,0.06
"July, 2007",71.8,56.4,87.2,0.03
"June, 2007",65.3,50.2,80.4,0.33
"May, 2007",59,44.6,73.3,1.11
"April, 2007",50.5,38,63,3.13
"March, 2007",49.5,36.9,62.2,1.51
"February, 2007",42,33.4,50.6,11.4
"January, 2007",37.8,26.1,49.5,1.69
"December, 2006",40.2,31,49.4,5.89
"November, 2006",45.7,36.5,54.9,4.39
"October, 2006",54.2,41.1,67.4,0.68
"September, 2006",65,49.8,80.3,0.05
"August, 2006",68.9,53.2,84.5,0.02
"July, 2006",74.2,58.9,89.5,0.05
"June, 2006",67.6,53.1,82.1,0.21
"May, 2006",58.9,45.4,72.3,1.25
"April, 2006",47.7,38,57.2,10.8
"March, 2006",37.3,29.1,45.5,11.57
"February, 2006",43.1,32.2,53.9,6.39
"January, 2006",40.3,32,48.7,8.61
"December, 2005",42.2,34.7,49.6,23.47
"November, 2005",48.2,37.8,58.5,3.85
"October, 2005",55.5,42.8,68.3,1.4
"September, 2005",61.9,47.3,76.5,0.57
"August, 2005",71.9,56.2,87.5,0.12
"July, 2005",74.2,58.9,89.5,0.02
"June, 2005",59.3,46.4,72.2,1.91
"May, 2005",55.2,43.9,66.4,6.42
"April, 2005",46.9,35.4,58.4,3.28
"March, 2005",45.8,35.3,56.2,8.72
"February, 2005",43.2,34.8,51.6,4.53
"January, 2005",39,31.4,46.6,8.91
