Month,Avg. Temp,Min. Temp,Max. Temp,Precip.
"December, 2020",50.9,38.7,63.1,2.67
"November, 2020",53.6,40.7,66.6,1.45
"October, 2020",65.8,50.6,80.9,0
"September, 2020",68.6,54.6,82.5,0
"August, 2020",69.8,57.3,82.4,0.05
"July, 2020",65.4,53.6,77.2,0.02
"June, 2020",64.4,51.3,77.6,0.02
"May, 2020",61.4,48.4,74.5,0.99
"April, 2020",56.1,45.6,66.6,3.02
"March, 2020",52,42.8,61.3,3.49
"February, 2020",53,39.6,66.4,0.02
"January, 2020",51.1,41.4,60.8,2.78
"December, 2019",51.4,44.6,58.2,10.05
"November, 2019",55,42,68,2.14
"October, 2019",61.8,45.4,78.2,0
"September, 2019",68.4,53.9,82.9,0.11
"August, 2019",68.7,55.6,81.8,0.02
"July, 2019",66.1,54,78,0.05
"June, 2019",64.1,52.3,75.8,0.05
"May, 2019",57.7,48.5,66.9,3.52
"April, 2019",57.8,47.2,68.4,0.87
"March, 2019",52.3,42.2,62.3,7.73
"February, 2019",47.2,39.6,54.8,12.83
"January, 2019",52.3,43.8,60.9,8.87
"December, 2018",51.2,41.7,60.6,3.81
"November, 2018",56.7,43.6,69.7,5.08
"October, 2018",62.5,48.4,76.6,0.08
"September, 2018",63.3,50.2,76.3,0
"August, 2018",65.9,53.4,78.4,0
"July, 2018",67.9,54.6,81.2,0.02
"June, 2018",62.7,49.3,76.1,0.02
"May, 2018",58.6,48,69.1,0.08
"April, 2018",55.6,44.4,66.8,3.17
"March, 2018",52.2,41.5,62.9,8.63
"February, 2018",51.4,37.9,64.8,0.36
"January, 2018",52.9,43.5,62.3,6.08
"December, 2017",51.5,37.7,65.3,0.16
"November, 2017",56.6,46.5,66.7,4.05
"October, 2017",62.4,47.2,77.7,0.21
"September, 2017",69.6,56.2,83.1,0.09
"August, 2017",67.9,56.6,79.2,0.01
"July, 2017",65.8,53.1,78.5,0
"June, 2017",64,51.5,76.4,0.09
"May, 2017",59,48.2,69.9,0.05
"April, 2017",55.6,44.5,66.8,4.06
"March, 2017",54.9,43.8,66,5.03
"February, 2017",51.7,44.7,58.6,14.61
"January, 2017",48.3,40.4,56.3,19.27
"December, 2016",49.1,40,58.2,7.03
"November, 2016",55.5,45.6,65.5,3.05
"October, 2016",60.6,50.2,71.1,5.4
"September, 2016",65.2,51.8,78.6,0.01
"August, 2016",65.6,54,77.1,0.03
"July, 2016",65.2,51.9,78.6,0.02
"June, 2016",64.8,50.6,79.1,0
"May, 2016",59.8,49.9,69.8,0.25
"April, 2016",58.1,46.6,69.6,1.68
"March, 2016",55,45,64.9,10.33
"February, 2016",56.2,43.4,69.1,1.16
"January, 2016",51.4,44.6,58.2,11.48
"December, 2015",48,38.4,57.4,6.64
"November, 2015",51.9,40.4,63.4,3.77
"October, 2015",65.7,53.1,78.3,0.1
"September, 2015",69.6,54.6,84.5,0.02
