Month,Avg. Temp,Min. Temp,Max. Temp,Precip.
"December, 2020",49.8,39.2,60.3,3.65
"November, 2020",52.4,40.2,64.5,1.88
"October, 2020",67.2,51.8,82.4,0.02
"September, 2020",69.6,55.8,83.3,0.01
"August, 2020",71,56.8,85.2,0.2
"July, 2020",66.9,53.1,80.6,0.01
"June, 2020",65.8,51.9,79.7,0
"May, 2020",60.7,48.3,73.1,2.04
"April, 2020",56.3,45,67.6,1.31
"March, 2020",50.2,40.3,60.1,1.81
"February, 2020",53.8,40.8,66.8,0.01
"January, 2020",49.2,41,57.3,3.92
"December, 2019",49.4,43.3,55.6,11.01
"November, 2019",54.8,42.8,66.8,1.59
"October, 2019",61,46.2,75.8,0.05
"September, 2019",66.4,53.1,79.8,0.2
"August, 2019",69.8,56.1,83.5,0.02
"July, 2019",67.2,53.4,80.9,0
"June, 2019",65.5,52.6,78.4,0
"May, 2019",56.7,47.3,66.2,4.67
"April, 2019",57.7,48,67.4,2.4
"March, 2019",50.7,41.9,59.6,8.79
"February, 2019",45,38.1,51.8,19.45
"January, 2019",50.5,42.9,58.1,9.67
"December, 2018",49,41,57,5.07
"November, 2018",55.3,44,66.6,6.08
"October, 2018",62.2,50,74.4,1.54
"September, 2018",64.6,50.5,78.7,0.12
"August, 2018",66.9,53.1,80.6,0.01
"July, 2018",68.6,54.7,82.5,0
"June, 2018",64.6,50.3,78.8,0
"May, 2018",59.5,47.6,71.4,0.3
"April, 2018",54.6,43.4,65.7,6.49
"March, 2018",50,39.6,60.4,7.9
"February, 2018",51.2,38.6,63.7,0.59
"January, 2018",50.2,42.3,58,7.92
"December, 2017",49.2,37.6,60.8,0.19
"November, 2017",53.1,44.5,61.7,6.51
"October, 2017",62.9,48.5,77.3,0.44
"September, 2017",69.1,55.6,82.5,0.13
"August, 2017",69,55.6,82.3,0.01
"July, 2017",68.4,53.4,83.5,0
"June, 2017",65.4,52.3,78.6,0.42
"May, 2017",60.2,47.7,72.8,0.06
"April, 2017",54.2,44.1,64.4,5.3
"March, 2017",54,43.4,64.5,4.38
"February, 2017",49.9,43.2,56.6,15.74
"January, 2017",46.3,38.6,54.1,19.58
"December, 2016",46.5,37.2,55.9,7.92
"November, 2016",54.2,44.8,63.6,5.1
"October, 2016",59.3,50.3,68.3,8.13
"September, 2016",65.8,51.8,79.9,0
"August, 2016",65.5,52.7,78.3,0.01
"July, 2016",66.6,52.2,80.9,0
"June, 2016",65.5,51.7,79.3,0.15
"May, 2016",59.8,48.9,70.7,0.39
"April, 2016",57.6,46.4,68.8,1.57
"March, 2016",52.9,44.1,61.7,12.23
"February, 2016",55.2,44.2,66.2,1.33
"January, 2016",49,43.5,54.6,12.73
"December, 2015",47,39.3,54.8,10.11
"November, 2015",51.6,39.9,63.3,2.01
"October, 2015",65.6,52.1,79.2,0.18
"September, 2015",67.6,53.2,82,0.62
"August, 2015",68.7,55.9,81.6,0.06
"July, 2015",67.6,55.5,79.6,0.08
"June, 2015",65.8,51.9,79.8,0.18
"May, 2015",57.7,47.2,68.2,0.18
"April, 2015",56,43.7,68.4,2.07
"March, 2015",57.4,45.1,69.8,0.28
"February, 2015",55.4,45.2,65.7,5.47
"January, 2015",52.3,42,62.6,0.19
"December, 2014",52.4,46.8,58,17.78
"November, 2014",55.6,45.4,65.8,4.16
"October, 2014",64.2,51,77.4,1.05
"September, 2014",66.2,54.4,78.1,0.89
