<<<<<<< HEAD
,Year,County,HarvestedAcres,Yield(Unit/Acre),Production,Price(Dollars/Unit),Unit,Value(Dollars)
0,2020,Marin,195.0,1.33,260.0,3607.69,Tons,938000
1,2020,Napa,45200.0,2.2,99300.0,4646.48,Tons,461395000
2,2020,Placer,315.0,2.79,879.0,2235.49,Tons,1965000
3,2020,SantaCruz,670.0,2.39,1600.0,3008.75,Tons,4814000
4,2020,Sonoma,56800.0,2.61,148000.0,2375.08,Tons,351512000
5,2019,Marin,195.0,2.08,406.0,3371.92,,1369000
6,2019,Napa,44200.0,3.62,160000.0,5862.26,Tons,937962000
7,2019,Placer,307.0,3.75,1150.0,1386.09,Tons,1594000
8,2019,SantaCruz,679.0,2.55,1730.0,3384.97,Tons,5856000
9,2019,Sonoma,57500.0,4.0,230000.0,2843.57,Tons,654021000
10,2018,Marin,195.0,1.96,382.0,3201.57,Tons,1223000
11,2018,Napa,43400.0,4.26,185000.0,5614.05,Tons,1038600000
12,2018,Placer,293.0,3.65,1070.0,1355.14,Tons,1450000
13,2018,SantaCruz,630.0,2.27,1430.0,2934.97,Tons,4197000
14,2018,Sonoma,59900.0,4.61,276000.0,2817.66,Tons,777675000
15,2017,Marin,195.0,1.49,291.0,3072.16,Tons,894000
16,2017,Napa,43600.0,3.26,142000.0,5287.55,Tons,750832000
17,2017,Placer,270.0,3.01,814.0,1371.01,Tons,1116000
18,2017,SantaCruz,638.0,2.35,1500.0,3226.67,Tons,4840000
19,2017,Sonoma,60000.0,3.43,206000.0,2807.34,Tons,578313000
20,2016,Marin,182.0,1.37,250.0,3468.0,Tons,867000
21,2016,Napa,43400.0,3.53,153000.0,4768.02,Tons,729507000
22,2016,Placer,265.0,3.11,823.0,1245.44,Tons,1025000
23,2016,SantaCruz,626.0,2.43,1520.0,2988.82,Tons,4543000
24,2016,Sonoma,60000.0,3.77,226000.0,2595.21,Tons,586518000
25,2015,Marin,175.0,0.59,103.0,3368.93,Tons,347000
26,2015,Napa,43000.0,2.88,124000.0,4410.76,Tons,546934000
27,2015,Placer,215.0,1.63,350.0,1488.57,Tons,521000
28,2015,SantaCruz,656.0,1.26,827.0,2844.01,Tons,2352000
29,2015,Sonoma,58200.0,3.14,183000.0,2440.1,Tons,446539000
30,2014,Marin,175.0,1.86,325.0,2163.08,Tons,703000
31,2014,Napa,43600.0,4.04,176000.0,4061.43,Tons,714811000
32,2014,Placer,212.0,2.57,545.0,1390.83,Tons,758000
33,2014,SantaCruz,654.0,2.55,1670.0,2921.56,Tons,4879000
34,2014,Sonoma,58300.0,4.39,256000.0,2315.62,Tons,592798000
35,2013,Marin,175.0,1.75,306.0,2856.21,tons,874000
36,2013,Napa,43600.0,4.01,175000.0,3749.91,tons,656235000
37,2013,Placer,211.0,3.55,750.0,1225.33,tons,919000
38,2013,SantaCruz,656.0,2.71,1780.0,2584.83,tons,4601000
39,2013,Sonoma,59800.0,4.53,271000.0,2232.72,tons,605068000
40,2012,Marin,186.0,2.08,387.0,3170.54,Tons,1227000
41,2012,Napa,43200.0,4.24,183000.0,3585.99,Tons,656236000
42,2012,Placer,197.0,3.55,699.0,1100.14,Tons,769000
43,2012,SantaCruz,630.0,3.16,1990.0,2701.01,Tons,5375000
44,2012,Sonoma,58300.0,4.58,267000.0,2183.3,Tons,582942000
45,2011,Marin,186.0,1.03,191.0,4623.04,Tons,883000
46,2011,Napa,43600.0,2.8,122000.0,3470.84,Tons,423442000
47,2011,Placer,190.0,1.94,368.0,1089.67,Tons,401000
48,2011,SantaCruz,644.0,1.04,670.0,2398.51,Tons,1607000
49,2011,Sonoma,58100.0,2.87,167000.0,2078.32,Tons,347080000
50,2010,Marin,186.0,1.11,207.0,5125.6,Tons,1061000
51,2010,Napa,43300.0,3.21,139000.0,3265.35,Tons,453883000
52,2010,Placer,226.0,2.0,452.0,1070.8,Tons,484000
53,2010,SantaCruz,607.0,2.22,1350.0,2271.11,Tons,3066000
54,2010,Sonoma,56500.0,3.4,192000.0,2033.58,Tons,390448000
55,2009,Marin,193.0,1.27,246.0,3186.59,Tons,783900
56,2009,Napa,43031.0,3.32,142976.0,3462.25,Tons,495018700
57,2009,Placer,211.0,2.4,506.0,997.04,Tons,504500
58,2009,SantaCruz,629.0,2.31,1453.0,2229.18,Tons,3239000
59,2009,Sonoma,56306.0,3.78,212675.0,2186.61,Tons,465036400
60,2008,Marin,195.0,1.02,199.0,3537.19,TONS,703900
61,2008,Napa,42870.0,2.7,115864.0,3451.57,TONS,399913100
62,2008,Placer,212.0,2.31,490.0,1015.71,TONS,497700
63,2008,SantaCruz,612.0,1.93,1181.0,2488.57,TON,2939000
64,2008,Sonoma,55431.0,3.05,168992.0,2255.09,TONS,381092000
65,2007,Marin,192.0,0.9,173.0,4368.21,TONS,755700
66,2007,Napa,42338.0,3.43,145115.0,3256.77,TONS,472606600
