year,Name,Min. Temp(F),Max. Temp(F),Precip.(in),Temp Range(F)
 1980,Marin,42.8,71.5,31.060000000000002,28.700000000000003
 1981,Marin,44.4,76.6,43.269999999999996,32.199999999999996
 1982,Marin,38.1,72.4,54.25,34.300000000000004
 1983,Marin,41.9,75.7,73.85,33.800000000000004
 1984,Marin,40.5,78.2,27.09,37.7
 1985,Marin,38.6,74.3,23.62,35.699999999999996
 1986,Marin,41.4,71.0,41.54,29.6
 1987,Marin,40.7,72.5,33.15,31.799999999999997
 1988,Marin,41.0,74.8,23.78,33.8
 1989,Marin,38.0,73.0,22.17,35.0
 1990,Marin,34.7,74.5,19.33,39.8
 1991,Marin,39.5,72.6,29.689999999999998,33.099999999999994
 1992,Marin,39.9,73.8,36.1,33.9
 1993,Marin,40.1,73.7,40.25,33.6
 1994,Marin,40.1,74.0,31.26,33.9
 1995,Marin,44.7,73.9,55.7,29.200000000000003
 1996,Marin,43.8,74.9,53.129999999999995,31.10000000000001
 1997,Marin,42.8,75.5,32.78,32.7
 1998,Marin,39.0,76.3,57.839999999999996,37.3
 1999,Marin,40.7,72.9,29.93,32.2
 2000,Marin,42.8,73.6,35.14,30.799999999999997
 2001,Marin,39.8,73.5,41.87,33.7
 2002,Marin,40.4,74.7,35.36,34.300000000000004
 2003,Marin,42.5,75.2,31.259999999999998,32.7
 2004,Marin,43.2,76.0,35.33,32.8
 2005,Marin,41.5,73.7,47.8,32.2
 2006,Marin,41.3,77.4,41.01,36.10000000000001
 2007,Marin,38.3,73.0,21.669999999999998,34.7
 2008,Marin,39.8,74.8,27.04,35.0
 2009,Marin,41.0,77.1,28.68,36.099999999999994
 2010,Marin,42.7,74.9,47.75,32.2
 2011,Marin,39.0,74.6,28.490000000000002,35.599999999999994
 2012,Marin,41.3,72.5,44.26,31.200000000000003
 2013,Marin,36.0,71.6,8.4,35.599999999999994
 2014,Marin,43.7,74.1,40.24,30.39999999999999
 2015,Marin,43.1,76.8,15.93,33.699999999999996
 2016,Marin,41.0,73.3,40.81,32.3
